,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,MCC
GCN (Latent),0.8252627915071354,0.58773976771533,0.9802439024390244,0.7325865375763791,0.9285182690489696,0.7048064432897314,0.6621643756396596
GAT (Latent),0.7697389488339714,0.5117984603498955,0.9506097560975609,0.6649189284233267,0.9102193822083571,0.7089785185250002,0.5703833994017256
GraphSAGE (Latent),0.6588861816916116,0.4149040822292764,1.0,0.5858118735540803,0.9419270537908868,0.7915459469953356,0.4782306591451776
MLP (Latent),0.5369926905673512,0.34968224198906867,0.9951219512195122,0.5142974705044161,0.9567375094535828,0.8294099542313313,0.3657407470756945
RandomForest (Input),0.7662443438914026,0.5188246643000463,0.512560975609756,0.5122167955501289,0.7435338674607677,0.4961996709641099,0.36148802849865913
SVM (Input),0.7638914027149322,0.5040446375330097,0.531829268292683,0.5151621221729021,0.7548062606352807,0.5065651841857399,0.36163409418096826
KNN (Input),0.5997911590671772,0.346690770396109,0.7582926829268293,0.47567433303904333,0.7031488702968425,0.3980073513944501,0.26363333730888183
GradientBoost (Input),0.7485276714235991,0.47682252141982867,0.49780487804878054,0.4857870206657762,0.7412396601436946,0.4664341879235451,0.3207586999267428
