,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,MCC
GCN (Latent),0.7723943661971832,0.4602744082504202,1.0,0.6276742581090407,0.9435924027575571,0.7679503489322892,0.5754603495061719
GAT (Latent),0.7896579476861167,0.49579365079365073,0.9692307692307693,0.6485297817532828,0.94518457948585,0.7798783162929155,0.5897150644313744
GraphSAGE (Latent),0.7070422535211268,0.3995514797586544,1.0,0.5682414803132168,0.9763633220983493,0.8885765725039956,0.5054821252063869
MLP (Latent),0.5794366197183098,0.3270877616110882,1.0,0.4877646368156813,0.9881048775785617,0.9227352761079327,0.39567022818573283
RandomForest (Input),0.7983903420523139,0.46117216117216114,0.37912087912087916,0.408619910981467,0.6906869295254051,0.4323627729442884,0.2956948503924396
SVM (Input),0.8124748490945674,0.5148717948717949,0.4230769230769231,0.4522051282051282,0.706917160274692,0.4478601561649144,0.35077249491597173
KNN (Input),0.6077665995975855,0.2857293007293008,0.7263736263736263,0.4081382607096892,0.6695046635155529,0.27224712055864425,0.24159805451804822
GradientBoost (Input),0.7841046277665996,0.45501165501165497,0.33296703296703295,0.3610680813439434,0.6895793861311103,0.4582351229590511,0.2523294084227598
