from	to
CCNB1	ZWINT
CCNB1	KIF20A
CCNB1	SFN
CCNB1	MELK
CCNB1	CDCA8
CCNB1	CENPF
CCNB1	TOP2A
CCNB1	UBE2C
CCNB1	CDC25C
CCNB1	CCNB2
CCNB1	CDC20
CCNB2	GADD45B
CCNB2	DLGAP5
CCNB2	GINS2
CCNB2	CDCA5
CCNB2	DEPDC1
CCNB2	EXO1
CCNB2	E2F1
CCNB2	KIF4A
CCNB2	TYMS
CCNB2	TK1
CCNB2	PCLAF
CCNB2	HMMR
CCNB2	NEK2
CCNB2	HJURP
CCNB2	CEP55
CCNB2	RRM2
CCNB2	SFN
CCNB2	ZWINT
CCNB2	KIF20A
CCNB2	CDC45
CCNB2	TPX2
CCNB2	TTK
CCNB2	NUSAP1
CCNB2	UBE2C
CCNB2	CDCA8
CCNB2	CENPF
CCNB2	MELK
CCNB2	TOP2A
CCNB2	CDC25C
CCNB2	CDC20
CD19	GZMB
CD19	CD69
CD19	CXCL13
CD19	IL7R
CD19	CD24
CD19	CD274
CD19	IL6
CD19	CD36
CD19	MME
CD19	FCGR3B
CD19	FCGR3A
CD19	CR2
CD1A	MME
CD1A	CD207
CD24	CDH1
CD24	EGFR
CD24	SOX2
CD24	SELE
CD24	CR2
CD24	PECAM1
CD274	GZMB
CD274	KRAS
CD274	CDH1
CD274	ERBB2
CD274	EGFR
CD274	MET
CD274	CXCR2
CD274	KLRD1
CD274	FCGR3A
CD274	ROS1
CD274	PTEN
CD274	DDX53
CD274	PRF1
CD274	CXCL12
CD274	IL6
CD274	FCGR3B
CD36	COMP
CD36	COL1A1
CD36	FABP4
CD36	VWF
CD36	COL1A2
CD36	SELE
CD36	THBS2
CD36	FCGR3A
CD36	IL6
CD36	PECAM1
CD36	LPL
CD36	FCGR3B
CD69	GZMB
CD69	IL6
CD69	CXCL8
CD69	CR2
CD69	PRF1
CD69	FCGR3B
CD69	FCGR3A
CD69	IL7R
CD69	S1PR1
CD93	PECAM1
CDC20	DLGAP5
CDC20	CDCA5
CDC20	MELK
CDC20	PCLAF
CDC20	TPX2
CDC20	TYMS
CDC20	CDC25C
CDC20	E2F1
CDC20	UBE2C
CDC20	RASSF1
CDC20	RRM2
CDC20	EXO1
CDC20	CENPF
CDC20	NEK2
CDC20	TTK
CDC20	CEP55
CDC20	DEPDC1
CDC20	HMMR
CDC20	TK1
CDC20	HJURP
CDC20	KIF4A
CDC20	CDC45
CDC20	NUSAP1
CDC20	ZWINT
CDC20	TOP2A
CDC20	KIF20A
CDC20	CDCA8
CDC25C	DLGAP5
CDC25C	EGFR
CDC25C	CDCA5
CDC25C	MELK
CDC25C	HMMR
CDC25C	TTK
CDC25C	TOP2A
CDC25C	KIF4A
CDC25C	DEPDC1
CDC25C	NEK2
CDC25C	UBE2C
CDC25C	CDCA8
CDC25C	KIF20A
CDC25C	CDC45
CDC25C	HJURP
CDC25C	SFN
CDC45	DLGAP5
CDC45	GINS2
CDC45	GINS1
CDC45	CDCA5
CDC45	MELK
CDC45	PCLAF
CDC45	TPX2
CDC45	TYMS
CDC45	E2F1
CDC45	UBE2C
CDC45	RRM2
CDC45	EXO1
CDC45	CENPF
CDC45	TTK
CDC45	CEP55
CDC45	RAD54L
CDC45	CDCA8
CDC45	ZWINT
CDC45	KIF4A
CDC45	HMMR
CDC45	KIF20A
CDC45	UBE2T
CDC45	TK1
CDC45	CDKN2A
CDC45	HJURP
CDC45	NUSAP1
CDC45	TOP2A
CDCA5	DLGAP5
CDCA5	NEK2
CDCA5	TYMS
CDCA5	TTK
CDCA5	UHRF1
CDCA5	UBE2T
CDCA5	HMMR
CDCA5	NUSAP1
CDCA5	UBE2C
CDCA5	CENPF
CDCA5	HJURP
CDCA5	CEP55
CDCA5	MELK
CDCA5	KIF20A
CDCA5	TPX2
CDCA5	KIF4A
CDCA5	ZWINT
CDCA5	TOP2A
CDCA5	CDCA8
CDCA8	DLGAP5
CDCA8	E2F8
CDCA8	MELK
CDCA8	PCLAF
CDCA8	TPX2
CDCA8	UBE2C
CDCA8	RRM2
CDCA8	CENPF
CDCA8	NEK2
CDCA8	TTK
CDCA8	CEP55
CDCA8	RAD54L
CDCA8	TK1
CDCA8	UHRF1
CDCA8	DEPDC1
CDCA8	ZWINT
CDCA8	HMMR
CDCA8	TOP2A
CDCA8	HJURP
CDCA8	KIF4A
CDCA8	NUSAP1
CDCA8	KIF20A
CDH1	KRAS
CDH1	MMP7
CDH1	CDKN2A
CDH1	CXCL12
CDH1	SOX2
CDH1	MMP3
CDH1	MYC
CDH1	KLF4
CDH1	ITGA1
CDH1	EGF
CDH1	CTNND2
CDH1	PTEN
CDH1	S100A8
CDH1	MMP9
CDH1	MET
CDH1	CDH3
CDH1	ERBB2
CDH1	CDH5
CDH1	EGFR
CDH13	CDH3
CDH13	CDKN2A
CDH13	RASSF1
CDH5	LYVE1
CDH5	VWF
CDH5	EGFR
CDH5	ESAM
CDH5	EMCN
CDH5	ROBO4
CDH5	SELE
CDH5	PTPRB
CDH5	TIE1
CDH5	TEK
CDH5	CLDN5
CDH5	PECAM1
CDKN2A	MLH1
CDKN2A	KRAS
CDKN2A	TP63
CDKN2A	ERBB2
CDKN2A	EGFR
CDKN2A	CDKN2B
CDKN2A	MGMT
CDKN2A	SOX2
CDKN2A	E2F1
CDKN2A	RASSF1
CDKN2A	PTEN
CDKN2A	RUNX3
CDKN2A	FHIT
CDKN2A	MYC
CDKN2B	MYC
CEACAM5	KRAS
CEACAM5	EGFR
CEACAM5	ERBB2
