"automated_textmining","coexpression","combined_score","database_annotated","experimentally_determined_interaction","gene_fusion","homology","interaction","name","neighborhood_on_chromosome","node1_string_id","node2_string_id","phylogenetic_cooccurrence","selected","shared interaction","shared name"
"0.752","0.045","0.753","0.0","0.0","0.0","0.0","interacts with","ADRB2 (interacts with) RAPGEF4","0.0","9606.ENSP00000305372","9606.ENSP00000380271","0.0","false","interacts with","ADRB2 (interacts with) RAPGEF4"
"0.431","0.045","0.812","0.65","0.128","0.0","0.0","interacts with","ADRB2 (interacts with) EDN1","0.0","9606.ENSP00000305372","9606.ENSP00000368683","0.0","false","interacts with","ADRB2 (interacts with) EDN1"
"0.791","0.042","0.873","0.4","0.068","0.0","0.602","interacts with","ADRB2 (interacts with) AGTR1","0.0","9606.ENSP00000305372","9606.ENSP00000398832","0.0","false","interacts with","ADRB2 (interacts with) AGTR1"
"0.75","0.054","0.91","0.5","0.333","0.0","0.0","interacts with","ADRB2 (interacts with) GRK5","0.0","9606.ENSP00000305372","9606.ENSP00000376609","0.0","false","interacts with","ADRB2 (interacts with) GRK5"
"0.967","0.044","0.983","0.0","0.51","0.0","0.0","interacts with","ADRB2 (interacts with) AKAP12","0.0","9606.ENSP00000305372","9606.ENSP00000384537","0.0","false","interacts with","ADRB2 (interacts with) AKAP12"
"0.25","0.057","0.944","0.9","0.311","0.0","0.0","interacts with","AGER (interacts with) KRAS","0.0","9606.ENSP00000364210","9606.ENSP00000256078","0.0","false","interacts with","AGER (interacts with) KRAS"
"0.27","0.072","0.962","0.0","0.948","0.0","0.0","interacts with","AGER (interacts with) S100P","0.0","9606.ENSP00000364210","9606.ENSP00000296370","0.0","false","interacts with","AGER (interacts with) S100P"
"0.516","0.743","0.87","0.0","0.0","0.0","0.0","interacts with","AGER (interacts with) SFTPC","0.0","9606.ENSP00000364210","9606.ENSP00000316152","0.0","false","interacts with","AGER (interacts with) SFTPC"
"0.997","0.106","0.999","0.5","0.41","0.0","0.0","interacts with","AGER (interacts with) S100A12","0.0","9606.ENSP00000364210","9606.ENSP00000357726","0.0","false","interacts with","AGER (interacts with) S100A12"
"0.582","0.488","0.776","0.0","0.0","0.0","0.0","interacts with","AGER (interacts with) SFTPD","0.0","9606.ENSP00000364210","9606.ENSP00000361366","0.0","false","interacts with","AGER (interacts with) SFTPD"
"0.716","0.105","0.734","0.0","0.0","0.0","0.0","interacts with","AGER (interacts with) CD36","0.0","9606.ENSP00000364210","9606.ENSP00000415743","0.0","false","interacts with","AGER (interacts with) CD36"
"0.404","0.0","0.782","0.65","0.0","0.0","0.0","interacts with","AGTR1 (interacts with) CXCL8","0.0","9606.ENSP00000398832","9606.ENSP00000306512","0.0","false","interacts with","AGTR1 (interacts with) CXCL8"
"0.835","0.042","0.982","0.9","0.0","0.0","0.835","interacts with","AGTR1 (interacts with) AGTR2","0.0","9606.ENSP00000398832","9606.ENSP00000360973","0.0","false","interacts with","AGTR1 (interacts with) AGTR2"
"0.785","0.0","0.898","0.5","0.128","0.0","0.0","interacts with","AGTR1 (interacts with) EDN1","0.0","9606.ENSP00000398832","9606.ENSP00000368683","0.0","false","interacts with","AGTR1 (interacts with) EDN1"
"0.278","0.043","0.739","0.5","0.333","0.0","0.0","interacts with","AGTR1 (interacts with) GRK5","0.0","9606.ENSP00000398832","9606.ENSP00000376609","0.0","false","interacts with","AGTR1 (interacts with) GRK5"
"0.593","0.0","0.807","0.5","0.128","0.0","0.0","interacts with","AGTR2 (interacts with) EDN1","0.0","9606.ENSP00000360973","9606.ENSP00000368683","0.0","false","interacts with","AGTR2 (interacts with) EDN1"
"0.415","0.053","0.774","0.0","0.625","0.0","0.0","interacts with","AKAP12 (interacts with) HSPA12B","0.0","9606.ENSP00000384537","9606.ENSP00000254963","0.0","false","interacts with","AKAP12 (interacts with) HSPA12B"
"0.491","0.49","0.81","0.0","0.329","0.0","0.0","interacts with","AKAP12 (interacts with) EGFR","0.0","9606.ENSP00000384537","9606.ENSP00000275493","0.0","false","interacts with","AKAP12 (interacts with) EGFR"
"0.203","0.751","0.793","0.0","0.0","0.0","0.0","interacts with","AKAP12 (interacts with) CAVIN1","0.0","9606.ENSP00000384537","9606.ENSP00000349541","0.0","false","interacts with","AKAP12 (interacts with) CAVIN1"
"0.732","0.047","0.733","0.0","0.0","0.0","0.0","interacts with","AKAP12 (interacts with) ANGPT1","0.0","9606.ENSP00000384537","9606.ENSP00000428340","0.0","false","interacts with","AKAP12 (interacts with) ANGPT1"
"0.544","0.336","0.717","0.137","0.045","0.0","0.0","interacts with","AKR1B10 (interacts with) ALDH3A1","0.0","9606.ENSP00000352584","9606.ENSP00000411821","0.0","false","interacts with","AKR1B10 (interacts with) ALDH3A1"
"0.096","0.079","0.928","0.918","0.071","0.0","0.0","interacts with","ALDH3A1 (interacts with) AOC3","0.0","9606.ENSP00000411821","9606.ENSP00000312326","0.0","false","interacts with","ALDH3A1 (interacts with) AOC3"
"0.131","0.087","0.926","0.914","0.047","0.0","0.0","interacts with","ALDH3A1 (interacts with) GAD1","0.0","9606.ENSP00000411821","9606.ENSP00000350928","0.0","false","interacts with","ALDH3A1 (interacts with) GAD1"
"0.228","0.055","0.726","0.65","0.053","0.0","0.0","interacts with","ALDH3A1 (interacts with) GSTM3","0.0","9606.ENSP00000411821","9606.ENSP00000354357","0.0","false","interacts with","ALDH3A1 (interacts with) GSTM3"
"0.225","0.049","0.719","0.65","0.0","0.0","0.0","interacts with","ALDH3A1 (interacts with) MGST1","0.0","9606.ENSP00000411821","9606.ENSP00000379512","0.0","false","interacts with","ALDH3A1 (interacts with) MGST1"
"0.314","0.061","0.758","0.65","0.053","0.0","0.0","interacts with","ALDH3A1 (interacts with) GSTP1","0.0","9606.ENSP00000411821","9606.ENSP00000381607","0.0","false","interacts with","ALDH3A1 (interacts with) GSTP1"
"0.886","0.074","0.989","0.9","0.11","0.0","0.0","interacts with","ALK (interacts with) KRAS","0.0","9606.ENSP00000373700","9606.ENSP00000256078","0.0","false","interacts with","ALK (interacts with) KRAS"
"0.433","0.0","0.775","0.0","0.62","0.0","0.568","interacts with","ALK (interacts with) ERBB2","0.0","9606.ENSP00000373700","9606.ENSP00000269571","0.0","false","interacts with","ALK (interacts with) ERBB2"
"0.947","0.0","0.947","0.0","0.0","0.0","0.0","interacts with","ALK (interacts with) TGFBR2","0.0","9606.ENSP00000373700","9606.ENSP00000351905","0.0","false","interacts with","ALK (interacts with) TGFBR2"
"0.706","0.0","0.722","0.0","0.092","0.0","0.0","interacts with","ALK (interacts with) PTEN","0.0","9606.ENSP00000373700","9606.ENSP00000361021","0.0","false","interacts with","ALK (interacts with) PTEN"
"0.818","0.0","0.818","0.0","0.0","0.0","0.0","interacts with","ALK (interacts with) CD274","0.0","9606.ENSP00000373700","9606.ENSP00000370989","0.0","false","interacts with","ALK (interacts with) CD274"
"0.602","0.0","0.896","0.75","0.045","0.0","0.0","interacts with","ALK (interacts with) MYC","0.0","9606.ENSP00000373700","9606.ENSP00000478887","0.0","false","interacts with","ALK (interacts with) MYC"
"0.592","0.0","0.968","0.0","0.926","0.0","0.0","interacts with","ALK (interacts with) ALKAL2","0.0","9606.ENSP00000373700","9606.ENSP00000384604","0.0","false","interacts with","ALK (interacts with) ALKAL2"
"0.971","0.0","0.997","0.9","0.292","0.0","0.0","interacts with","ALK (interacts with) MDK","0.0","9606.ENSP00000373700","9606.ENSP00000385451","0.0","false","interacts with","ALK (interacts with) MDK"
"0.744","0.077","0.755","0.0","0.046","0.0","0.0","interacts with","ANGPT1 (interacts with) VWF","0.0","9606.ENSP00000428340","9606.ENSP00000261405","0.0","false","interacts with","ANGPT1 (interacts with) VWF"
"0.819","0.058","0.822","0.0","0.0","0.0","0.0","interacts with","ANGPT1 (interacts with) FGF2","0.0","9606.ENSP00000428340","9606.ENSP00000264498","0.0","false","interacts with","ANGPT1 (interacts with) FGF2"
"0.729","0.043","0.729","0.0","0.0","0.0","0.0","interacts with","ANGPT1 (interacts with) EGF","0.0","9606.ENSP00000428340","9606.ENSP00000265171","0.0","false","interacts with","ANGPT1 (interacts with) EGF"
"0.272","0.049","0.736","0.65","0.0","0.0","0.0","interacts with","ANGPT1 (interacts with) ERBB2","0.0","9606.ENSP00000428340","9606.ENSP00000269571","0.0","false","interacts with","ANGPT1 (interacts with) ERBB2"
"0.588","0.049","0.85","0.65","0.0","0.0","0.0","interacts with","ANGPT1 (interacts with) EGFR","0.0","9606.ENSP00000428340","9606.ENSP00000275493","0.0","false","interacts with","ANGPT1 (interacts with) EGFR"
"0.157","0.0","0.716","0.65","0.115","0.0","0.0","interacts with","ANGPT1 (interacts with) FGFR4","0.0","9606.ENSP00000428340","9606.ENSP00000292408","0.0","false","interacts with","ANGPT1 (interacts with) FGFR4"
"0.356","0.061","0.77","0.65","0.0","0.0","0.0","interacts with","ANGPT1 (interacts with) MET","0.0","9606.ENSP00000428340","9606.ENSP00000317272","0.0","false","interacts with","ANGPT1 (interacts with) MET"
"0.698","0.054","0.705","0.0","0.053","0.0","0.0","interacts with","ANGPT1 (interacts with) PTPRB","0.0","9606.ENSP00000428340","9606.ENSP00000334928","0.0","false","interacts with","ANGPT1 (interacts with) PTPRB"
"0.998","0.104","0.998","0.0","0.136","0.0","0.0","interacts with","ANGPT1 (interacts with) TIE1","0.0","9606.ENSP00000428340","9606.ENSP00000361554","0.0","false","interacts with","ANGPT1 (interacts with) TIE1"
"0.999","0.163","0.999","0.9","0.889","0.0","0.0","interacts with","ANGPT1 (interacts with) TEK","0.0","9606.ENSP00000428340","9606.ENSP00000369375","0.0","false","interacts with","ANGPT1 (interacts with) TEK"
"0.703","0.044","0.704","0.0","0.0","0.0","0.0","interacts with","ANGPT1 (interacts with) CXCL12","0.0","9606.ENSP00000428340","9606.ENSP00000379140","0.0","false","interacts with","ANGPT1 (interacts with) CXCL12"
"0.795","0.044","0.797","0.0","0.044","0.0","0.0","interacts with","ANGPT1 (interacts with) CDH5","0.0","9606.ENSP00000428340","9606.ENSP00000497290","0.0","false","interacts with","ANGPT1 (interacts with) CDH5"
"0.699","0.072","0.732","0.0","0.115","0.0","0.0","interacts with","ANGPTL1 (interacts with) TIE1","0.0","9606.ENSP00000234816","9606.ENSP00000361554","0.0","false","interacts with","ANGPTL1 (interacts with) TIE1"
"0.804","0.059","0.807","0.0","0.0","0.0","0.0","interacts with","ANGPTL1 (interacts with) LILRB2","0.0","9606.ENSP00000234816","9606.ENSP00000375629","0.0","false","interacts with","ANGPTL1 (interacts with) LILRB2"
"0.846","0.092","0.866","0.0","0.115","0.0","0.0","interacts with","ANGPTL1 (interacts with) TEK","0.0","9606.ENSP00000234816","9606.ENSP00000369375","0.0","false","interacts with","ANGPTL1 (interacts with) TEK"
"0.823","0.0","0.824","0.0","0.045","0.0","0.0","interacts with","ANK2 (interacts with) ERBB2","0.0","9606.ENSP00000349588","9606.ENSP00000269571","0.0","false","interacts with","ANK2 (interacts with) ERBB2"
