ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
208507_at	5.57e-02	2.27e-02	2.307707	-4.463996	0.07996333	OR7C2	olfactory receptor family 7 subfamily C member 2
1561966_at	5.57e-02	2.27e-02	-2.30753	-4.464387	-0.0532485	LOC101927647	uncharacterized LOC101927647
1565879_at	5.58e-02	2.27e-02	2.3073124	-4.464869	0.11534617		
226626_at	5.58e-02	2.28e-02	2.3072973	-4.464902	0.20489583	THOC2	THO complex 2
209908_s_at	5.58e-02	2.28e-02	-2.307187	-4.465146	-0.23827333	TGFB2	transforming growth factor beta 2
230011_at	5.58e-02	2.28e-02	2.306781	-4.466043	0.20789633	MEI1	meiotic double-stranded break formation protein 1
1561892_at	5.58e-02	2.28e-02	2.3067695	-4.466069	0.08289617	ZMYM6	zinc finger MYM-type containing 6
213487_at	5.58e-02	2.28e-02	2.3067156	-4.466188	0.09000683	MAP2K2	mitogen-activated protein kinase kinase 2
212367_at	5.58e-02	2.28e-02	-2.3065838	-4.46648	-0.17742617	FEM1B	fem-1 homolog B
208454_s_at	5.58e-02	2.28e-02	-2.3065661	-4.466519	-0.21239633	CPQ	carboxypeptidase Q
201216_at	5.58e-02	2.28e-02	2.3065038	-4.466656	0.17600433	ERP29	endoplasmic reticulum protein 29
239787_at	5.59e-02	2.28e-02	2.3064322	-4.466815	0.07485617	KCTD4	potassium channel tetramerization domain containing 4
226643_s_at	5.59e-02	2.28e-02	2.3063498	-4.466997	0.27241433	NUDCD2	NudC domain containing 2
210179_at	5.59e-02	2.28e-02	2.3062656	-4.467183	0.06532817	KCNJ13	potassium voltage-gated channel subfamily J member 13
205028_at	5.59e-02	2.28e-02	2.3062433	-4.467232	0.071552	TRO	trophinin
243914_at	5.59e-02	2.28e-02	2.3062356	-4.467249	0.0765895		
225661_at	5.59e-02	2.28e-02	-2.3061541	-4.467429	-0.2325945	IFNAR1	interferon alpha and beta receptor subunit 1
1553592_x_at	5.59e-02	2.28e-02	2.3057848	-4.468246	0.08329967	BCRP3	breakpoint cluster region pseudogene 3
207096_at	5.59e-02	2.28e-02	2.3057116	-4.468407	0.20336983	SAA2-SAA4///SAA4	SAA2-SAA4 readthrough///serum amyloid A4, constitutive
213369_at	5.60e-02	2.29e-02	2.3055546	-4.468754	0.14518	CDHR1	cadherin related family member 1
222399_s_at	5.60e-02	2.29e-02	2.3054731	-4.468934	0.35286617	TM9SF3	transmembrane 9 superfamily member 3
232218_at	5.60e-02	2.29e-02	2.3054595	-4.468964	0.14066017		
244584_at	5.60e-02	2.29e-02	2.3054038	-4.469088	0.07335417	KIAA1549L	KIAA1549 like
1561045_a_at	5.60e-02	2.29e-02	-2.305345	-4.469218	-0.082364	LOC101928973	uncharacterized LOC101928973
207536_s_at	5.60e-02	2.29e-02	2.3053144	-4.469285	0.2872805	TNFRSF9	TNF receptor superfamily member 9
241051_at	5.60e-02	2.29e-02	2.305248	-4.469432	0.07005317		
223856_at	5.60e-02	2.29e-02	2.3051402	-4.46967	0.1082005	AKR1E2	aldo-keto reductase family 1 member E2
212705_x_at	5.60e-02	2.29e-02	-2.3050001	-4.46998	-0.20703533	PNPLA2	patatin like phospholipase domain containing 2
229706_at	5.60e-02	2.29e-02	2.3049331	-4.470128	0.17878517	TCERG1	transcription elongation regulator 1
227290_at	5.61e-02	2.29e-02	2.304468	-4.471155	0.24855767	CDYL2	chromodomain Y-like 2
226647_at	5.61e-02	2.29e-02	2.3043639	-4.471385	0.1400785	TMEM25	transmembrane protein 25
205044_at	5.61e-02	2.29e-02	2.3041471	-4.471864	0.55415083	GABRP	gamma-aminobutyric acid type A receptor pi subunit
233761_at	5.61e-02	2.29e-02	2.3041369	-4.471886	0.14960283		
