ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
217428_s_at	1.60e-31	2.93e-36	-14.9037379	71.412187	-4.8961099	COL10A1	collagen type X alpha 1 chain
229346_at	5.01e-26	1.83e-30	13.201474	58.356111	1.4727359	NES	nestin
213236_at	1.18e-25	6.48e-30	13.038942	57.11955	1.7177011	SASH1	SAM and SH3 domain containing 1
218665_at	7.56e-25	5.53e-29	12.7622968	55.020882	1.6699987	FZD4	frizzled class receptor 4
225314_at	5.02e-24	4.59e-28	-12.4881552	52.9497	-2.0890928	OCIAD2	OCIA domain containing 2
229172_at	6.60e-24	7.24e-28	12.4287946	52.502442	2.048781	HSPA12B	heat shock protein family A (Hsp70) member 12B
205941_s_at	3.29e-23	4.58e-27	-12.1884237	50.696178	-4.1399054	COL10A1	collagen type X alpha 1 chain
204677_at	3.29e-23	4.82e-27	12.1819271	50.647471	2.2007409	CDH5	cadherin 5
214614_at	3.62e-23	5.97e-27	-12.1540313	50.4384	-3.8383113	MNX1	motor neuron and pancreas homeobox 1
206868_at	5.00e-23	1.00e-26	12.0862293	49.930719	1.4395437	STARD8	StAR related lipid transfer domain containing 8
219682_s_at	5.00e-23	1.01e-26	12.0858355	49.927772	1.9304103	TBX3	T-box 3
236154_at	7.27e-23	1.64e-26	12.0219484	49.450041	1.8070332	QKI	QKI, KH domain containing RNA binding
229382_at	7.27e-23	1.73e-26	12.0148991	49.397366	2.8458002	LOC101928718///FAM212B	uncharacterized LOC101928718///family with sequence similarity 212 member B
1557729_at	7.98e-23	2.04e-26	11.9928851	49.23292	1.8054364	GRK5	G protein-coupled receptor kinase 5
33322_i_at	8.18e-23	2.24e-26	-11.9806396	49.141478	-1.7609145	SFN	stratifin
206855_s_at	9.79e-23	2.86e-26	11.9486148	48.902446	1.3125956	HYAL2	hyaluronoglucosaminidase 2
219091_s_at	1.44e-22	4.47e-26	11.8903371	48.467883	1.8672508	MMRN2	multimerin 2
230992_at	1.63e-22	5.38e-26	11.8658375	48.285359	2.1046603	BTNL9	butyrophilin like 9
218960_at	2.68e-22	9.31e-26	-11.7936925	47.748446	-5.1387418	TMPRSS4	transmembrane protease, serine 4
205935_at	2.87e-22	1.05e-25	11.7777177	47.629676	2.4472305	FOXF1	forkhead box F1
205651_x_at	3.73e-22	1.43e-25	11.7368945	47.326359	1.9130819	RAPGEF4	Rap guanine nucleotide exchange factor 4
41644_at	5.78e-22	2.40e-25	11.6686951	46.820277	1.7091388	SASH1	SAM and SH3 domain containing 1
202759_s_at	5.78e-22	2.43e-25	11.6672165	46.809314	1.7475537	PALM2-AKAP2///AKAP2	PALM2-AKAP2 readthrough///A-kinase anchoring protein 2
220027_s_at	6.78e-22	2.97e-25	11.640539	46.611577	2.1403534	RASIP1	Ras interacting protein 1
226022_at	1.50e-21	6.85e-25	11.5301048	45.794384	1.5812157	SASH1	SAM and SH3 domain containing 1
215918_s_at	1.73e-21	8.22e-25	11.5059943	45.616266	3.0207966	SPTBN1	spectrin beta, non-erythrocytic 1
231991_at	1.82e-21	9.19e-25	11.4911889	45.506944	2.1762826	CCM2L	CCM2 like scaffolding protein
236383_at	1.82e-21	9.30e-25	11.4896379	45.495494	2.3935593		
241672_at	2.07e-21	1.13e-24	11.4642872	45.308408	3.9300304	SERTM1	serine rich and transmembrane domain containing 1
219993_at	2.07e-21	1.13e-24	11.463374	45.301671	1.7818586	SOX17	SRY-box 17
230469_at	2.24e-21	1.27e-24	11.4485136	45.192062	3.6817015	RTKN2	rhotekin 2
205507_at	2.52e-21	1.48e-24	11.4283292	45.04325	1.4302039	ARHGEF15	Rho guanine nucleotide exchange factor 15
217177_s_at	3.98e-21	2.42e-24	11.3628641	44.561137	2.339954	PTPRB	protein tyrosine phosphatase, receptor type B
208707_at	3.98e-21	2.48e-24	11.3596251	44.537306	1.6032845	EIF5	eukaryotic translation initiation factor 5
236262_at	5.59e-21	3.58e-24	11.3104985	44.176096	2.0109337	MMRN2	multimerin 2
207732_s_at	5.61e-21	3.69e-24	-11.3064353	44.146242	-2.3587157	DLG3	discs large MAGUK scaffold protein 3
219752_at	7.29e-21	5.02e-24	-11.2655542	43.846056	-2.0538705	RASAL1	RAS protein activator like 1
204271_s_at	7.29e-21	5.16e-24	11.261734	43.818021	2.4326335	EDNRB	endothelin receptor type B
233903_s_at	7.29e-21	5.35e-24	11.2570502	43.783654	1.9827407	ARHGEF26	Rho guanine nucleotide exchange factor 26
235108_at	7.29e-21	5.43e-24	11.2549813	43.768474	2.7896946	KCNK3	potassium two pore domain channel subfamily K member 3
226028_at	7.29e-21	5.46e-24	11.254124	43.762185	2.59323	ROBO4	roundabout guidance receptor 4
227780_s_at	7.41e-21	5.69e-24	11.2487595	43.722831	1.8861803	ECSCR	endothelial cell surface expressed chemotaxis and apoptosis regulator
228339_at	9.53e-21	7.50e-24	11.2118757	43.452411	1.9860209	ECSCR	endothelial cell surface expressed chemotaxis and apoptosis regulator
218678_at	1.56e-20	1.26e-23	11.1426649	42.945734	1.68827	NES	nestin
