"","x"
"308","SLCO1A2"
"309","SMTNL2"
"310","ABCA4"
"311","SCARA5"
"312","ADH1B"
"313","CRTAC1"
"314","TRIM58"
"315","MAP7D2"
"316","ADCY8"
"317","HSPB3"
"318","IGFL2"
"319","WFDC3"
"320","HIST1H2AE"
"321","ADAMDEC1"
"322","HHIP"
"323","CTNND2"
"324","MMP3"
"325","MAMDC2"
"326","CD19"
"327","FAM111B"
"328","IL1RL1"
"329","GPR37"
"330","KRT15"
"331","PGM5-AS1"
"332","MMP7"
"333","CAMK2N1"
"334","LCAL1"
"335","CYP24A1"
"336","PPBP"
"337","KDM4C"
"338","GAD1"
"339","MFAP4"
"340","PLCXD3"
"341","EXO1"
"342","CETP"
"343","NFIB"
"344","GREM1"
"345","CR2"
"346","KLB"
"347","SLC27A6"
"348","IL37"
"349","FOXA3"
"350","LINC01354"
"351","SOGA3///KIAA0408"
"352","EYA4"
"353","LINC00460"
"354","SFTPA2///SFTPA1"
"355","KCTD16"
"356","NMU"
"357","PIR-FIGF///FIGF"
"358","DUOX1"
"359","PKHD1L1"
"360","CD1A"
"361","AQP4"
"362","MB"
"363","LYPD1"
"364","AOC1"
"365","TRPM8"
"366","OGN"
"367","WIF1"
"368","CEACAM7"
"369","KRT4"
"370","PCP4"
"371","RERGL"
"372","ATP1A2"
"373","ABCA12"
"374","GLB1L3"
"375","STMN2"
"376","MYRIP"
"377","EGFEM1P"
"378","SCUBE3"
"379","CEACAM5"
"380","NR4A3"
"381","SCN1A"
"382","SEL1L2///GPR37"
"383","DPP10"
"384","AGTR2"
"385","ZYG11A"
"386","CASQ2"
"387","LRRC36"
"388","UGT2B4"
"389","NR4A1"
"390","CXCL14"
"391","CPB2"
"392","CD207"
"393","ACKR1"
"394","FOXE1"
"395","PTPRH"
"396","FDCSP"
"397","LRRC15"
"398","MGC27382"
"399","MMP1"
"400","MFSD4A"
"401","CDC45"
"402","FCRLA"
"403","GJB6"
"404","LINC01207"
"405","S100A8"
"406","KIAA0408"
"407","PEBP4"
"408","C2orf40"
"409","COL17A1"
"410","SLC46A2"
"411","ARNTL2"
"412","UMODL1"
"413","XAGE1B///XAGE1E"
"414","IBSP"
"415","IGF2BP3"
"416","HGD"
"417","ANK2"
"418","TM4SF4"
"419","KLK10"
"420","ARL14"
"421","GFRA3"
"422","CLDN10-AS1"
"423","AKR1B10"
"424","KRT6A"
"425","CA10"
"426","MFAP5"
"427","TMPRSS11E"
"428","CYP4B1"
"429","LOC101926959"
"430","LGSN"
"431","MUC16"
"432","SPRR1A"
"433","GPR87"
"434","SCGB1A1"
"435","MUC5B"
"436","TCN1"
"437","SPOCK2"
"438","FRMD3"
"439","PCAT19"
"440","EFNA4"
"441","ACVRL1"
"442","LIN7A"
"443","WWC2///CLDN22"
"444","FUT2"
"445","MYZAP"
"446","EPAS1"
"447","QKI"
"448","ST6GALNAC5"
"449","SH2D3C"
"450","PALM2-AKAP2///AKAP2"
"451","PECAM1"
"452","ADIRF"
"453","CORO2B"
"454","CYYR1"
"455","KIAA1462"
"456","JAM2"
"457","RGCC"
"458","GIMAP8"
"459","LDB2"
"460","ESAM"
"461","EMP2"
"462","FAM46B"
"463","ITM2A"
"464","GPR146"
