ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
214908_s_at	6.34e-01	3.89e-01	-0.8722972	-6.069778	-0.2306856	TRRAP	transformation/transcription domain associated protein
207961_x_at	6.34e-01	3.89e-01	0.8721573	-6.069897	0.2893447	MYH11	myosin heavy chain 11
210472_at	6.34e-01	3.89e-01	0.8721519	-6.069902	0.0827303	MT1G	metallothionein 1G
227560_at	6.34e-01	3.89e-01	-0.8720167	-6.070018	-0.1644492	SFXN2	sideroflexin 2
209852_x_at	6.34e-01	3.89e-01	0.8720072	-6.070026	0.2180876	PSME3	proteasome activator subunit 3
212945_s_at	6.34e-01	3.89e-01	0.8720033	-6.070029	0.2010458	MGA	MGA, MAX dimerization protein
231209_at	6.34e-01	3.89e-01	-0.8719636	-6.070063	-0.075356	EXOC3L4	exocyst complex component 3 like 4
241648_at	6.34e-01	3.89e-01	-0.8717776	-6.070222	-0.067052		
221082_s_at	6.34e-01	3.89e-01	-0.8716558	-6.070327	-0.1974656	NDRG3	NDRG family member 3
219630_at	6.34e-01	3.89e-01	-0.871609	-6.070367	-0.1247604	PDZK1IP1	PDZK1 interacting protein 1
241136_at	6.34e-01	3.89e-01	0.8716067	-6.070369	0.0826375		
233126_s_at	6.34e-01	3.89e-01	-0.8715032	-6.070457	-0.0786099	OLAH	oleoyl-ACP hydrolase
231652_at	6.34e-01	3.89e-01	0.8714803	-6.070477	0.0822153		
243112_at	6.34e-01	3.89e-01	0.8714482	-6.070504	0.1014893		
228430_at	6.34e-01	3.90e-01	0.8714264	-6.070523	0.1349442	BOLA3-AS1	BOLA3 antisense RNA 1 (head to head)
205461_at	6.34e-01	3.90e-01	-0.8713544	-6.070584	-0.1393657	RAB35	RAB35, member RAS oncogene family
225640_at	6.34e-01	3.90e-01	-0.8713544	-6.070584	-0.1562682	EBLN3P	endogenous Bornavirus-like nucleoprotein 3, pseudogene
235808_at	6.34e-01	3.90e-01	-0.871336	-6.0706	-0.1163011	LOC102606465	uncharacterized LOC102606465
201692_at	6.34e-01	3.90e-01	0.8713205	-6.070613	0.1997404	SIGMAR1	sigma non-opioid intracellular receptor 1
1560080_at	6.34e-01	3.90e-01	-0.8713179	-6.070616	-0.0779516	DIAPH1	diaphanous related formin 1
236457_at	6.35e-01	3.90e-01	0.8712082	-6.070709	0.4894732	GTDC1	glycosyltransferase like domain containing 1
202544_at	6.35e-01	3.90e-01	-0.8711939	-6.070722	-0.1284083	GMFB	glia maturation factor beta
1569614_s_at	6.35e-01	3.90e-01	0.8711814	-6.070732	0.0537474	LCN8	lipocalin 8
1555433_at	6.35e-01	3.90e-01	-0.8711269	-6.070779	-0.0550155	SLC39A14	solute carrier family 39 member 14
226622_at	6.35e-01	3.90e-01	-0.8710555	-6.07084	-0.3031733	MUC20	mucin 20, cell surface associated
232614_at	6.35e-01	3.90e-01	-0.8710022	-6.070885	-0.4472758		
236674_at	6.35e-01	3.90e-01	-0.8709207	-6.070955	-0.3329587	LOC388780	uncharacterized LOC388780
204691_x_at	6.35e-01	3.90e-01	0.8708959	-6.070976	0.1426845	PLA2G6	phospholipase A2 group VI
201948_at	6.35e-01	3.90e-01	0.8708577	-6.071009	0.2381656	GNL2	G protein nucleolar 2
224521_s_at	6.35e-01	3.90e-01	0.8708421	-6.071022	0.302	CCDC77	coiled-coil domain containing 77
241325_at	6.35e-01	3.90e-01	0.8707761	-6.071079	0.0597465		
1554509_a_at	6.35e-01	3.90e-01	0.8707328	-6.071116	0.2687175	FAM188A	family with sequence similarity 188 member A
235243_at	6.35e-01	3.90e-01	-0.8706885	-6.071154	-0.0966507	CLIP3	CAP-Gly domain containing linker protein 3
242890_at	6.35e-01	3.90e-01	0.8706687	-6.071171	0.3868574		
219954_s_at	6.35e-01	3.90e-01	-0.870659	-6.071179	-0.1487415	GBA3	glucosylceramidase beta 3 (gene/pseudogene)
215753_at	6.35e-01	3.90e-01	0.8704573	-6.071351	0.078751		
212457_at	6.35e-01	3.90e-01	-0.8704571	-6.071351	-0.2034007	TFE3	transcription factor binding to IGHM enhancer 3
213112_s_at	6.35e-01	3.90e-01	0.8703732	-6.071423	0.3796231	SQSTM1	sequestosome 1
210037_s_at	6.35e-01	3.90e-01	-0.8703595	-6.071435	-0.1321904	NOS2	nitric oxide synthase 2
215282_at	6.35e-01	3.90e-01	-0.870344	-6.071448	-0.0994454	ANAPC13	anaphase promoting complex subunit 13
227871_at	6.35e-01	3.90e-01	0.8702321	-6.071543	0.2389312	CHM	CHM, Rab escort protein 1
223031_s_at	6.35e-01	3.90e-01	0.8702303	-6.071545	0.2193268	TRAF7	TNF receptor associated factor 7
229693_at	6.35e-01	3.90e-01	0.8701644	-6.071601	0.4029766	TMEM220	transmembrane protein 220
202345_s_at	6.35e-01	3.90e-01	0.8700278	-6.071718	0.7594313	FABP5	fatty acid binding protein 5
201384_s_at	6.35e-01	3.90e-01	-0.8700184	-6.071726	-0.1329023	NBR1	NBR1, autophagy cargo receptor
229590_at	6.35e-01	3.90e-01	0.8700136	-6.07173	0.4904274	SNORD68///RPL13	small nucleolar RNA, C/D box 68///ribosomal protein L13
1567031_at	6.35e-01	3.90e-01	-0.8699498	-6.071785	-0.0888887	ZNF160	zinc finger protein 160
224462_s_at	6.35e-01	3.90e-01	0.8699369	-6.071796	0.3266705	CHCHD6	coiled-coil-helix-coiled-coil-helix domain containing 6
206221_at	6.35e-01	3.90e-01	-0.8699308	-6.071801	-0.0705742	RASA3	RAS p21 protein activator 3
240733_at	6.35e-01	3.90e-01	-0.8698751	-6.071848	-0.1476198		
220194_at	6.35e-01	3.90e-01	0.8697491	-6.071956	0.0947073	NSUN7	NOP2/Sun RNA methyltransferase family member 7
211146_at	6.35e-01	3.90e-01	-0.8696932	-6.072004	-0.0695272	IGKC	immunoglobulin kappa constant
243753_at	6.35e-01	3.90e-01	-0.8696721	-6.072022	-0.1020485	ERICH3	glutamate rich 3
239160_at	6.35e-01	3.90e-01	-0.8696382	-6.072051	-0.2506309		
234639_x_at	6.35e-01	3.90e-01	0.8695989	-6.072084	0.061797	KRTAP9-8	keratin associated protein 9-8
221712_s_at	6.35e-01	3.91e-01	0.8694825	-6.072184	0.2871509	WDR74	WD repeat domain 74
231311_at	6.35e-01	3.91e-01	0.8694028	-6.072252	0.2852591		
213334_x_at	6.35e-01	3.91e-01	-0.8693576	-6.07229	-0.260673	HAUS7	HAUS augmin like complex subunit 7
216276_s_at	6.35e-01	3.91e-01	0.8693018	-6.072338	0.0987749	ADAM3A	ADAM metallopeptidase domain 3A (pseudogene)
236298_at	6.35e-01	3.91e-01	-0.8692863	-6.072351	-0.1845901	PDSS1	prenyl (decaprenyl) diphosphate synthase, subunit 1
224093_at	6.35e-01	3.91e-01	-0.8692546	-6.072378	-0.0643768	IFNK	interferon kappa
1562296_at	6.35e-01	3.91e-01	0.8691635	-6.072456	0.0775755		
220001_at	6.35e-01	3.91e-01	0.8691544	-6.072463	0.1415719	PADI4	peptidyl arginine deiminase 4
218964_at	6.35e-01	3.91e-01	-0.8691477	-6.072469	-0.1136948	ARID3B	AT-rich interaction domain 3B
211621_at	6.35e-01	3.91e-01	-0.8691224	-6.072491	-0.2530108	AR	androgen receptor
240288_at	6.35e-01	3.91e-01	-0.8691062	-6.072505	-0.0872428	KCNRG///TRIM13	potassium channel regulator///tripartite motif containing 13
237848_at	6.35e-01	3.91e-01	-0.8690991	-6.072511	-0.0698913	LOC100996671	uncharacterized LOC100996671
232161_x_at	6.35e-01	3.91e-01	0.8690914	-6.072517	0.1974032	PTPN4	protein tyrosine phosphatase, non-receptor type 4
236168_at	6.35e-01	3.91e-01	-0.8690895	-6.072519	-0.3929798		
1569698_s_at	6.35e-01	3.91e-01	-0.8690789	-6.072528	-0.078497	KIZ-AS1	KIZ antisense RNA 1
236638_at	6.36e-01	3.91e-01	-0.8690371	-6.072564	-0.2024885	AMER3	APC membrane recruitment protein 3
202132_at	6.36e-01	3.91e-01	-0.8690194	-6.072579	-0.4813986	WWTR1	WW domain containing transcription regulator 1
220503_at	6.36e-01	3.91e-01	-0.8689761	-6.072616	-0.0809682	SLC13A1	solute carrier family 13 member 1
226367_at	6.36e-01	3.91e-01	-0.8689706	-6.07262	-0.227696	KDM5A	lysine demethylase 5A
220474_at	6.36e-01	3.91e-01	-0.8689309	-6.072654	-0.1273421	SLC25A21	solute carrier family 25 member 21
243917_at	6.36e-01	3.91e-01	-0.868927	-6.072657	-0.0722316	CLIC5	chloride intracellular channel 5
212919_at	6.36e-01	3.91e-01	-0.8688859	-6.072693	-0.1853366	DCP2	decapping mRNA 2
1564209_at	6.36e-01	3.91e-01	0.8688637	-6.072711	0.0677943	LINC00700	long intergenic non-protein coding RNA 700
235010_at	6.36e-01	3.91e-01	-0.8687772	-6.072785	-0.3593385	ZBED5-AS1	ZBED5 antisense RNA 1
1555034_at	6.36e-01	3.91e-01	0.8686029	-6.072934	0.084764	CLRN1	clarin 1
232886_at	6.36e-01	3.91e-01	-0.8684275	-6.073083	-0.1255075		
1561870_at	6.36e-01	3.91e-01	0.8684178	-6.073092	0.0738656		
223774_at	6.36e-01	3.91e-01	-0.868384	-6.07312	-0.3456202	SNORA16A///SNORA61///SNORA44///SNHG12	small nucleolar RNA, H/ACA box 16A///small nucleolar RNA, H/ACA box 61///small nucleolar RNA, H/ACA box 44///small nucleolar RNA host gene 12
201669_s_at	6.36e-01	3.91e-01	0.8683554	-6.073145	0.2463572	MARCKS	myristoylated alanine rich protein kinase C substrate
