biomarker_gene
CEBPA
ACSL1
ACTN4
ADD3
ADGRL4
ADO
AJAP1
ALDH1A1
ALOX5
AMACR
AP1S3
APOD
ATP6V1E1
ATRX
AURKA
BCAN
BCL6
BMPR1B
BRAF
C3
C9ORF40
CASC2
CASP8
CAV1
CBLN4
CBX3
CCDC26
CCL3
CCL8
CCNA1
CCNA2
CCNB2
CCND1
CD163
CD276
CD44
CD74
CDC25B
CDK2
CDKN2A
CHI3L1
CHST12
CISD1
COL4A1
CPS1
CRP
CRY2
CSPG4
CT62
CTLA-4
CTSC
DAB2
DANCR
DDX17
DDX5
DIRAS3
DLX6-AS1
DNAJC10
DPY19L2P1
DTX1
EGFL7
EGFR
ELF3-AS1
ELK3
EMP2
EN1
EPS8L1
ETNK1
F13A1
FABP7
FANCD2
FBLIM1
FCER1G
FCGBP
FGF1
FGF10
FGF11
FGF12
FGF13
FGF14
FGF15
FGF16
FGF17
FGF18
FGF19
FGF2
FGF20
FGF21
FGF22
FGF23
FGF3
FGF4
FGF5
FGF6
FGF7
FGF8
FGF9
FLNA
FLVCR1
FN1
FOS
FRAT1
FREM2
FRT1
FTL
FTX
Fam20C
GATAD1
GDF15
GFAP
GGCT
GIT2
GLI1
GLS2
GNG5
GOT1
GPR37L1
GPX2
GRN
H19
H2BC12
HAR1A
HAS2-AS1
HDGF
HES1
HHIP
HJURP
HLA-DRA
HMBOX1
HMGB1
HOTAIR
HOXA13
HOXA2
HOXB9
HOXD-AS2
HSPA5
IDH1
IDH2
IGFBP
IGHG1
IL13RA2
IL1R1
IL33
IL4R
INA
ISL2
ITGA9
ITGB3BP
JUN
KCNH1-IT1
KIT
KLF11
KLF4
KPNA2
KRT16P2
LAMA4
LAMB1
LBP
LBX2-AS1
LGALS1
LGALS3BP
LINC01139
LNX1
LNX2
LOC441204
LRG1
LRRC4
LYN
MACC1
MAGED4
MAP2
MCM2
MCM7
MDK
MGMT
MIR100
MIR106A
MIR10B
MIR122
MIR124-1
MIR124-2
MIR124-3
MIR1246
MIR126
MIR128-1
MIR128-2
MIR129-1
MIR129-2
MIR130A
MIR130B
MIR137
MIR141
MIR142
MIR145
MIR155
MIR15B
MIR16
MIR181A1
MIR181A2
MIR181B1
MIR181B2
MIR181C
MIR181D
MIR182
MIR183
MIR186
MIR1909
MIR193B
MIR198
MIR199A1
MIR199A2
MIR19A
MIR19B
MIR19B1
MIR200B
MIR205
MIR206
MIR208A
MIR20A
MIR21
MIR210
MIR210HG
MIR214
MIR221
MIR222
MIR23A
MIR29A
MIR29B1
MIR29B2
MIR301A
MIR30A
MIR320A
MIR323
MIR338
MIR33B
MIR340
MIR346
MIR351
MIR361
MIR376
MIR376A1
MIR376A2
MIR376B
MIR376C
MIR381
MIR383
MIR424
MIR433
MIR449A
MIR449B
MIR449C
MIR454
MIR4697HG
MIR4731
MIR491
MIR500A
MIR504
MIR5194
MIR526
MIR574
MIR576
MIR592
MIR615
MIR625
MIR626
MIR7
MIR7-1
MIR720
MIR766
MIR769
MIR9-1
MIR9-1HG
FAM50B
MIR9-2
MIR9-3
MIR93
MIR98
MIRLET7C
MIRLET7G
MKI67
MME
MMP14
MMP19
MMP26
MMP9
MROCKI
MSH6
MSI1
MST1
MT1JP
MTDH
MYB
MYC
MYO1C
NAMPT
NANOG
NCKAP1L
NDRG2
NDUFA1
NDUFA13
NDUFB8
NDUFS5
NES
NFE2L2
NFKBIA
NGF
NKAIN1
NKX2-1
NLRC4
NOTCH1
NPAS2
NTN1
NTRK2
OLIG2
OPN3
OPN4
OPN5
P4HB
PAICS
PARD6A
PARP9
PATZ1
PDIA4
PDIA5
PDIA6
PDRG1
PECAM1
PF4
PHF20
PIK3CA
PITPNA-AS1
PIWIL1
PIWIL2
PLA2G4
PLAUR
PLK1
PLPP4
PLXNB1
POMGNT1
POSTN
POU5F1
PPARG
PPFIA4
PRKCA
PRKCG
PROM1
PROS1
PROX1
PTBP1
PTCH
PTN
PTPRZ1
PTPRZ2
PTTG1
PTX3
PVT1
RAB5A
RAB5B
RAB5C
RAP1B
RASSF1
RBFOX3
RCVRN
RHOJ
RNF149
RNU6-1
RO60
ROCK1
RPL34-DT
RTN4
RUNX1
RUNX3
S100A8
S100A9
SBF2-AS1
SCARF2
SELL
SERPINA1
SERPINE1
SF3B1
SFRP1
SFRP2
SHMT2
SLAMF1
SLC16A1-AS1
SLC1A5
SLC39A4
SLC44A1
SMAD1
SOCS3
SORBS2
SOX1
SOX2
SOX3
SOX5
SOX6
SPAG4
SPDL1
SPI1
SPP1
SPRY4-IT1
SRPX
SRPX2
SRSF1
STAT1
STOX1
SUMO1P3
TBPL1
TDGF1
TERT
TFAM
TFPI2
TGFBI
TGFBR2
THBS1
TIMELESS
TIMP1
TIMP3
TLN1
TLR9
TMEM39A
TMEM72-AS1
TMX1
TNC
TNFRSF1A
TNFRSF21
TNFSF13
TP53
TPM3
TPTEP1
TREH
TRIB2
TRIOBP
TTF1
TXNDC5
UBA1
UBE2C
UBE2E2
URGCP
USP7
VEFGB
VEFGC
VEFGD
VEGFA
VIM
VMP1
VPS33B
VTN
VWF
VXN
WEE1
WT1
XRCC2
XRCC5
ZNF667-AS1
