,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,MCC
GCN (Latent),0.8306660368445915,0.39681385281385284,0.9875,0.5640492184334549,0.9640161001788907,0.6652024177110303,0.5613468551474112
GAT (Latent),0.7713840340103921,0.32436372426028487,0.9875,0.48731108721808025,0.948837358378056,0.6126102476991977,0.4856478716735304
GraphSAGE (Latent),0.6929333963155409,0.26514622908160607,1.0,0.41833566734656236,0.972265205724508,0.7555952888885779,0.4168191353110798
MLP (Latent),0.585592820028342,0.27183951625644415,1.0,0.41096210671591626,0.9915573941562312,0.9094503344415301,0.37168360697164493
RandomForest (Input),0.8581483230987246,0.32576923076923076,0.30166666666666664,0.31232718894009215,0.7875162492546213,0.35273933757440185,0.23426613271338442
SVM (Input),0.863646669815777,0.3466758241758242,0.29166666666666663,0.31525483137552107,0.7802188431723316,0.36559652791303426,0.2424017576369731
KNN (Input),0.6501842229570146,0.20152526774823293,0.7458333333333333,0.3172197192478882,0.7310240011926059,0.22613141706080678,0.24431368806231477
GradientBoost (Input),0.853991497401984,0.33263724198506806,0.35583333333333333,0.3388592052553902,0.763334525939177,0.3385171098216534,0.26078021438792576
