Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,MCC,Fold,Threshold
0.9294117647058824,0.8260869565217391,0.9047619047619048,0.8636363636363636,0.9553571428571429,0.7967360592442319,0.8176868805573912,1,0.6169491525423729
0.9529411764705882,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9784226190476191,0.8968458888074102,0.8735119047619048,2,0.6271186440677967
0.9647058823529412,0.9090909090909091,0.9523809523809523,0.9302325581395349,0.9828869047619048,0.9031010260595573,0.9070670585262735,3,0.4745762711864407
1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,4,0.34237288135593225
0.9404761904761905,0.8260869565217391,0.95,0.8837209302325582,0.96328125,0.8244869835454873,0.847704543803544,5,0.535593220338983
0.9642857142857143,0.8695652173913043,1.0,0.9302325581395349,0.978125,0.912084526035428,0.9103869220425385,6,0.29152542372881357
0.9880952380952381,1.0,0.95,0.9743589743589743,0.99921875,0.9976190476190478,0.9671528397231822,7,0.4847457627118644
0.9285714285714286,0.8888888888888888,0.8,0.8421052631578947,0.97421875,0.8761140805769961,0.7979614177655611,8,0.6983050847457628
0.9761904761904762,0.9090909090909091,1.0,0.9523809523809523,0.9890625,0.9473749219047207,0.9384464919119354,9,0.535593220338983
0.9166666666666666,0.782608695652174,0.9,0.8372093023255814,0.9578125,0.8384163916877607,0.7850221655645495,10,0.41355932203389834
0.9561344537815126,0.8916180437919567,0.9361904761904762,0.9118638807133299,0.9778385416666666,0.8992778925480641,0.8844940224656881,Mean,0.5020338983050848
0.027436272157404743,0.07090065052664168,0.06208561291324911,0.05537547581443133,0.015746615963990653,0.06885006488761002,0.07271311430882849,Std,0.12178364170274769
