ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
208169_s_at	1.47e-01	3.52e-02	2.1391271	-4.483821	0.25811568	PTGER3	prostaglandin E receptor 3
217633_at	1.47e-01	3.52e-02	2.1390704	-4.483936	0.24773877	URB1	URB1 ribosome biogenesis 1 homolog (S. cerevisiae)
209091_s_at	1.47e-01	3.52e-02	2.1390404	-4.483997	0.38491599	SH3GLB1	SH3 domain containing GRB2 like endophilin B1
208906_at	1.47e-01	3.52e-02	-2.1386233	-4.484842	-0.18967145	HNRNPUL2-BSCL2///BSCL2	HNRNPUL2-BSCL2 readthrough (NMD candidate)///BSCL2, seipin lipid droplet biogenesis associated
201734_at	1.47e-01	3.52e-02	-2.1385611	-4.484968	-0.15405625	CLCN3	chloride voltage-gated channel 3
220122_at	1.47e-01	3.52e-02	2.1382422	-4.485613	0.15843958	MCTP1	multiple C2 and transmembrane domain containing 1
204700_x_at	1.47e-01	3.53e-02	-2.1381535	-4.485793	-0.41624219	DIEXF	digestive organ expansion factor homolog (zebrafish)
221030_s_at	1.47e-01	3.53e-02	2.1380609	-4.48598	0.13639759	ARHGAP24	Rho GTPase activating protein 24
217363_x_at	1.47e-01	3.53e-02	2.1379594	-4.486186	0.26973056		
219624_at	1.47e-01	3.53e-02	2.1376408	-4.486831	0.3737346	BAG4	BCL2 associated athanogene 4
218271_s_at	1.47e-01	3.53e-02	2.1375427	-4.487029	0.17671648	PARL	presenilin associated rhomboid like
34868_at	1.48e-01	3.53e-02	-2.1372622	-4.487597	-0.27657201	SMG5	SMG5, nonsense mediated mRNA decay factor
205059_s_at	1.48e-01	3.53e-02	2.1372507	-4.48762	0.17454928	IDUA	iduronidase, alpha-L-
221490_at	1.48e-01	3.53e-02	-2.1371557	-4.487813	-0.19045772	UBAP1	ubiquitin associated protein 1
206926_s_at	1.48e-01	3.54e-02	-2.1370232	-4.488081	-0.28883168	IL11	interleukin 11
216176_at	1.48e-01	3.54e-02	2.1370046	-4.488118	0.29215494	HCRP1	hepatocellular carcinoma-related HCRP1
216192_at	1.48e-01	3.54e-02	-2.1369187	-4.488292	-0.30911127	FABP7	fatty acid binding protein 7
217827_s_at	1.48e-01	3.54e-02	2.1368179	-4.488496	0.22671279	SPG21	spastic paraplegia 21 (autosomal recessive, Mast syndrome)
217041_at	1.48e-01	3.54e-02	2.136578	-4.488982	0.2462321	NPTXR	neuronal pentraxin receptor
212053_at	1.48e-01	3.54e-02	-2.1365353	-4.489068	-0.24873674	LOC102724985///PDXDC1	pyridoxal-dependent decarboxylase domain-containing protein 1///pyridoxal dependent decarboxylase domain containing 1
AFFX-r2-Ec-bioB-5_at	1.48e-01	3.54e-02	2.1363366	-4.48947	0.17985957		
212707_s_at	1.48e-01	3.54e-02	2.1363344	-4.489474	0.28828732	RASA4B///RASA4CP///RASA4	RAS p21 protein activator 4B///RAS p21 protein activator 4C, pseudogene///RAS p21 protein activator 4
210919_at	1.48e-01	3.55e-02	2.1355853	-4.49099	0.36280354	PHLPP1	PH domain and leucine rich repeat protein phosphatase 1
202811_at	1.48e-01	3.55e-02	-2.1350167	-4.492139	-0.17878086	STAMBP	STAM binding protein
208341_x_at	1.48e-01	3.56e-02	2.1345899	-4.493002	0.29502928	CSH2///CSH1	chorionic somatomammotropin hormone 2///chorionic somatomammotropin hormone 1
217892_s_at	1.48e-01	3.56e-02	2.1344296	-4.493326	0.17181219	LIMA1	LIM domain and actin binding 1
203808_at	1.48e-01	3.56e-02	2.1339518	-4.494292	0.13847375	AKT2	AKT serine/threonine kinase 2
218798_at	1.48e-01	3.56e-02	2.1336795	-4.494842	0.32133852	KRI1	KRI1 homolog
214626_s_at	1.48e-01	3.56e-02	-2.1336267	-4.494949	-0.36537593	GANAB	glucosidase II alpha subunit
203200_s_at	1.48e-01	3.56e-02	-2.1335714	-4.49506	-0.18901446	MTRR	5-methyltetrahydrofolate-homocysteine methyltransferase reductase
221939_at	1.48e-01	3.57e-02	-2.133312	-4.495585	-0.21243115	YIPF2	Yip1 domain family member 2
205228_at	1.49e-01	3.57e-02	2.1328032	-4.496613	0.28720985	RBMS2	RNA binding motif single stranded interacting protein 2
214130_s_at	1.49e-01	3.57e-02	-2.1323792	-4.497469	-0.58090959	LOC101930416///LOC101929792///LOC100996724///PDE4DIP	myomegalin-like///uncharacterized LOC101929792///phosphodiesterase 4D interacting protein-like///phosphodiesterase 4D interacting protein
205260_s_at	1.49e-01	3.57e-02	-2.1323569	-4.497514	-0.54399007	ACYP1	acylphosphatase 1
205573_s_at	1.49e-01	3.58e-02	-2.1322734	-4.497682	-0.64325655	SNX7	sorting nexin 7
204066_s_at	1.49e-01	3.58e-02	-2.1317848	-4.498669	-0.32451844	AGAP1	ArfGAP with GTPase domain, ankyrin repeat and PH domain 1
201972_at	1.49e-01	3.58e-02	-2.1314741	-4.499296	-0.21882531	ATP6V1A	ATPase H+ transporting V1 subunit A
212765_at	1.49e-01	3.59e-02	-2.1304379	-4.501388	-0.21904058	CAMSAP2	calmodulin regulated spectrin associated protein family member 2
211411_at	1.49e-01	3.59e-02	-2.130026	-4.502219	-0.18160762		
204133_at	1.49e-01	3.60e-02	-2.1297316	-4.502813	-0.27693566	RRP9	ribosomal RNA processing 9, small subunit (SSU) processome component, homolog (yeast)
221368_at	1.49e-01	3.60e-02	-2.1293403	-4.503602	-0.21157954	NEU2	neuraminidase 2
205326_at	1.49e-01	3.60e-02	2.12932	-4.503643	0.2323039	RAMP3	receptor (G protein-coupled) activity modifying protein 3
207543_s_at	1.50e-01	3.61e-02	-2.1286241	-4.505047	-0.30980567	P4HA1	prolyl 4-hydroxylase subunit alpha 1
202812_at	1.50e-01	3.61e-02	2.1285624	-4.505171	0.20418703	GAA	glucosidase alpha, acid
216486_x_at	1.50e-01	3.61e-02	2.1281892	-4.505923	0.30378905	ZNF79	zinc finger protein 79
219322_s_at	1.50e-01	3.61e-02	-2.1279811	-4.506343	-0.300533	WRAP73	WD repeat containing, antisense to TP73
37953_s_at	1.50e-01	3.61e-02	2.1277336	-4.506842	0.35090087	ASIC1	acid sensing ion channel subunit 1
