ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
237351_at	9.50e-12	1.74e-16	-2.97e+01	24.731422	-5.53	LOC284825	uncharacterized LOC284825
230595_at	3.13e-11	1.15e-15	-2.66e+01	23.553708	-4.31	PGM5-AS1	PGM5 antisense RNA 1
236936_at	9.01e-09	4.95e-13	-1.86e+01	19.116226	-4.69		
239710_at	1.35e-08	9.91e-13	-1.79e+01	18.552551	-3.51	FIGN	fidgetin, microtubule severing factor
1558170_at	5.43e-08	5.96e-12	-1.61e+01	17.051724	-2.48		
1563182_at	5.43e-08	6.41e-12	-1.60e+01	16.989518	-5.96	ACVR1C	activin A receptor type 1C
239185_at	5.43e-08	7.86e-12	-1.58e+01	16.815469	-2.51	ABCA9	ATP binding cassette subfamily A member 9
1557832_at	5.43e-08	7.94e-12	-1.58e+01	16.806643	-4.69	LOC101926960	uncharacterized LOC101926960
206208_at	9.03e-08	1.63e-11	-1.51e+01	16.184703	-4.44	CA4	carbonic anhydrase 4
238178_at	9.03e-08	1.65e-11	-1.51e+01	16.173823	-3.51		
221697_at	1.10e-07	2.22e-11	-1.48e+01	15.914727	-1.41	MAP1LC3C	microtubule associated protein 1 light chain 3 gamma
236131_at	1.46e-07	3.21e-11	-1.45e+01	15.590447	-2.80		
205941_s_at	1.55e-07	3.68e-11	1.44e+01	15.471675	7.17	COL10A1	collagen type X alpha 1 chain
243278_at	1.89e-07	4.85e-11	-1.41e+01	15.227449	-3.55	FOXP2	forkhead box P2
1559296_at	2.34e-07	7.78e-11	-1.37e+01	14.805558	-2.51	ADAMTS9-AS2	ADAMTS9 antisense RNA 2
233367_at	2.34e-07	8.71e-11	-1.36e+01	14.70422	-1.91		
231015_at	2.34e-07	8.89e-11	-1.36e+01	14.685663	-2.66	KLF15	Kruppel like factor 15
242828_at	2.34e-07	8.96e-11	-1.36e+01	14.679331	-4.39	FIGN	fidgetin, microtubule severing factor
238062_at	2.34e-07	9.04e-11	-1.36e+01	14.670704	-5.40	GPIHBP1	glycosylphosphatidylinositol anchored high density lipoprotein binding protein 1
1568779_a_at	2.34e-07	9.15e-11	-1.36e+01	14.66031	-2.03	ECM2	extracellular matrix protein 2
206209_s_at	2.34e-07	9.37e-11	-1.36e+01	14.639042	-5.71	CA4	carbonic anhydrase 4
1562953_s_at	2.34e-07	9.41e-11	-1.36e+01	14.634959	-2.13	WDFY3-AS2	WDFY3 antisense RNA 2
205978_at	2.79e-07	1.17e-10	-1.34e+01	14.436994	-2.49	KL	klotho
204754_at	2.82e-07	1.24e-10	-1.33e+01	14.389409	-3.97	HLF	HLF, PAR bZIP transcription factor
206289_at	2.90e-07	1.33e-10	-1.33e+01	14.32521	-2.06	HOXA4	homeobox A4
235737_at	4.35e-07	2.13e-10	-1.29e+01	13.895183	-3.57	TSLP	thymic stromal lymphopoietin
204997_at	4.35e-07	2.15e-10	-1.29e+01	13.888818	-6.69	GPD1	glycerol-3-phosphate dehydrogenase 1
209183_s_at	5.38e-07	2.75e-10	-1.27e+01	13.66289	-3.11	C10orf10	chromosome 10 open reading frame 10
204755_x_at	7.18e-07	3.81e-10	-1.24e+01	13.366805	-4.20	HLF	HLF, PAR bZIP transcription factor
242500_at	7.96e-07	4.37e-10	-1.23e+01	13.241169	-3.04		
1555318_at	8.85e-07	5.02e-10	-1.22e+01	13.113171	-1.84	HIF3A	hypoxia inducible factor 3 alpha subunit
1553129_at	8.95e-07	5.24e-10	-1.22e+01	13.073628	-3.21	SVEP1	sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1
204422_s_at	9.75e-07	5.88e-10	-1.21e+01	12.966803	-4.40	FGF2	fibroblast growth factor 2
227899_at	1.00e-06	6.22e-10	-1.21e+01	12.915384	-3.74	VIT	vitrin
205824_at	1.08e-06	6.91e-10	-1.20e+01	12.819109	-3.31	HSPB2	heat shock protein family B (small) member 2
217428_s_at	1.19e-06	7.87e-10	1.19e+01	12.698578	5.83	COL10A1	collagen type X alpha 1 chain
238081_at	1.23e-06	8.35e-10	-1.18e+01	12.643403	-2.64	WDFY3-AS2	WDFY3 antisense RNA 2
209186_at	1.26e-06	8.79e-10	1.18e+01	12.595843	1.89	ATP2A2	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2
1558421_a_at	1.38e-06	9.99e-10	-1.17e+01	12.477157	-5.27	C14orf180	chromosome 14 open reading frame 180
238964_at	1.38e-06	1.01e-09	-1.17e+01	12.469329	-2.94	FIGN	fidgetin, microtubule severing factor
239523_at	1.43e-06	1.09e-09	-1.16e+01	12.396911	-6.41	TUSC5	tumor suppressor candidate 5
203435_s_at	1.43e-06	1.10e-09	-1.16e+01	12.389562	-5.00	MME	membrane metallo-endopeptidase
213486_at	1.44e-06	1.14e-09	-1.16e+01	12.358095	-3.50	COPG2IT1	COPG2 imprinted transcript 1 (non-protein coding)
237624_at	1.51e-06	1.24e-09	-1.15e+01	12.275282	-2.03		
1562673_at	1.51e-06	1.27e-09	-1.15e+01	12.253222	-6.39e-01		
235228_at	1.51e-06	1.27e-09	-1.15e+01	12.251365	-3.41	CCDC85A	coiled-coil domain containing 85A
224458_at	1.54e-06	1.32e-09	-1.15e+01	12.217539	-1.98	TMEM246	transmembrane protein 246
206262_at	1.83e-06	1.61e-09	-1.13e+01	12.035114	-4.60	ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide
210051_at	2.01e-06	1.80e-09	-1.13e+01	11.926674	-2.69	RAPGEF3	Rap guanine nucleotide exchange factor 3
238463_at	2.01e-06	1.84e-09	-1.12e+01	11.908105	-7.39e-01	GAS1RR	GAS1 adjacent regulatory RNA
219737_s_at	2.11e-06	1.96e-09	-1.12e+01	11.847383	-4.63	PCDH9	protocadherin 9
211726_s_at	2.36e-06	2.26e-09	-1.11e+01	11.716857	-4.35	FMO2	flavin containing monooxygenase 2
229893_at	2.36e-06	2.29e-09	-1.11e+01	11.703074	-2.09	FRMD3	FERM domain containing 3
232313_at	2.62e-06	2.59e-09	-1.10e+01	11.588907	-4.44	TMEM132C	transmembrane protein 132C
221796_at	2.72e-06	2.73e-09	-1.10e+01	11.537409	-5.16	NTRK2	neurotrophic receptor tyrosine kinase 2
218711_s_at	2.74e-06	2.80e-09	-1.09e+01	11.514495	-4.10	SDPR	serum deprivation response
219552_at	2.84e-06	2.96e-09	-1.09e+01	11.461565	-2.91	SVEP1	sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1
209773_s_at	2.92e-06	3.10e-09	1.09e+01	11.420726	6.95	RRM2	ribonucleotide reductase regulatory subunit M2
236038_at	3.11e-06	3.38e-09	-1.08e+01	11.338485	-4.27	RNF150	ring finger protein 150
1560359_at	3.11e-06	3.41e-09	-1.08e+01	11.329212	-2.48	ITGA1	integrin subunit alpha 1
200672_x_at	3.19e-06	3.56e-09	-1.08e+01	11.290328	-2.55	SPTBN1	spectrin beta, non-erythrocytic 1
205208_at	3.25e-06	3.68e-09	-1.08e+01	11.257226	-4.92	ALDH1L1	aldehyde dehydrogenase 1 family member L1
203016_s_at	4.01e-06	4.62e-09	1.06e+01	11.042897	3.20	SSX2IP	SSX family member 2 interacting protein
228770_at	4.98e-06	5.83e-09	-1.04e+01	10.822833	-4.08	GPR146	G protein-coupled receptor 146
239942_at	5.08e-06	6.07e-09	-1.04e+01	10.784602	-3.46	GNG11	G protein subunit gamma 11
204388_s_at	5.08e-06	6.13e-09	-1.04e+01	10.775827	-5.33	MAOA	monoamine oxidase A
1556364_at	5.36e-06	6.57e-09	-1.04e+01	10.710282	-3.27	ADAMTS9-AS2	ADAMTS9 antisense RNA 2
232488_at	5.46e-06	6.79e-09	-1.03e+01	10.679149	-1.14	PHYKPL	5-phosphohydroxy-L-lysine phospho-lyase
1557422_at	5.76e-06	7.27e-09	-1.03e+01	10.614365	-4.11		
201890_at	5.77e-06	7.39e-09	1.03e+01	10.599378	6.79	RRM2	ribonucleotide reductase regulatory subunit M2
227657_at	6.00e-06	7.80e-09	-1.02e+01	10.548075	-4.09	RNF150	ring finger protein 150
218959_at	6.05e-06	7.97e-09	1.02e+01	10.527394	4.38	HOXC10	homeobox C10
209614_at	6.16e-06	8.23e-09	-1.02e+01	10.497113	-4.99	ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide
204753_s_at	6.79e-06	9.18e-09	-1.01e+01	10.392557	-4.45	HLF	HLF, PAR bZIP transcription factor
223764_x_at	6.93e-06	9.51e-09	-1.01e+01	10.359335	-4.19	NIPSNAP3B	nipsnap homolog 3B
228692_at	7.21e-06	1.01e-08	-1.01e+01	10.299158	-2.91	PREX2	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2
238009_at	7.21e-06	1.02e-08	-1.01e+01	10.296719	-3.82	SOX5	SRY-box 5
209686_at	8.06e-06	1.16e-08	-9.97	10.167518	-6.09	S100B	S100 calcium binding protein B
205713_s_at	8.06e-06	1.16e-08	9.97	10.166637	5.28	COMP	cartilage oligomeric matrix protein
221295_at	8.41e-06	1.23e-08	-9.93	10.113537	-6.75	CIDEA	cell death-inducing DFFA-like effector a
219398_at	8.55e-06	1.27e-08	-9.91	10.086494	-6.10	CIDEC	cell death inducing DFFA like effector c
212701_at	8.72e-06	1.32e-08	-9.89	10.04699	-3.83	TLN2	talin 2
229024_at	8.72e-06	1.32e-08	-9.89	10.044326	-4.65	RNF150	ring finger protein 150
203358_s_at	9.15e-06	1.41e-08	9.85	9.985989	4.26	EZH2	enhancer of zeste 2 polycomb repressive complex 2 subunit
219866_at	9.15e-06	1.42e-08	-9.84	9.976227	-2.16	CLIC5	chloride intracellular channel 5
208848_at	9.24e-06	1.45e-08	-9.82	9.955428	-1.44	ADH5	alcohol dehydrogenase 5 (class III), chi polypeptide
230992_at	9.32e-06	1.48e-08	-9.81	9.935779	-2.92	BTNL9	butyrophilin like 9
205608_s_at	9.51e-06	1.55e-08	-9.78	9.896922	-3.31	ANGPT1	angiopoietin 1
210247_at	9.51e-06	1.55e-08	-9.78	9.895257	-3.20	SYN2	synapsin II
212071_s_at	9.67e-06	1.59e-08	-9.76	9.868173	-2.25	SPTBN1	spectrin beta, non-erythrocytic 1
1563621_at	9.88e-06	1.64e-08	-9.74	9.837594	-2.77		
226303_at	9.91e-06	1.67e-08	-9.73	9.82434	-3.12	PGM5	phosphoglucomutase 5
