Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,MCC,Fold,Threshold
0.958904109589041,0.8571428571428571,0.75,0.8,0.9884615384615385,0.9305555555555555,0.7793646498329633,1,0.49491525423728816
1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,0.4033898305084746
1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,0.5050847457627119
0.9863013698630136,1.0,0.875,0.9333333333333333,0.9961538461538462,0.975,0.9283008263717233,4,0.4338983050847458
0.9861111111111112,0.8888888888888888,1.0,0.9411764705882353,1.0,1.0,0.9354143466934853,5,0.3830508474576272
1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0.464406779661017
0.9861111111111112,0.8888888888888888,1.0,0.9411764705882353,0.98828125,0.875545634920635,0.9354143466934853,7,0.41355932203389834
0.9861111111111112,1.0,0.875,0.9333333333333333,0.998046875,0.9861111111111112,0.9281909617845142,8,0.4542372881355933
0.9722222222222222,0.875,0.875,0.875,0.9921875,0.9502840909090909,0.859375,9,0.4745762711864407
0.9861111111111112,0.875,1.0,0.9333333333333333,0.9912087912087912,0.9093537414965986,0.9281909617845142,10,0.44406779661016954
0.9861872146118721,0.9384920634920635,0.9375,0.9357352941176471,0.9954339800824176,0.9626850133992992,0.9294251093160686,Mean,0.44711864406779667
0.012960641921079213,0.06541938105226582,0.08838834764831845,0.06198496622102414,0.00493184574749767,0.044589055250724485,0.06867286143719105,Std,0.03751701710989162
