SYMBOL,degree,is_biomarker
FOXO1,62,0
FOXP2,2,0
FREM1,2,0
FSTL1,2,0
FTO,8,1
FUBP1,4,0
FXYD1,4,0
FZD4,12,0
G0S2,2,0
GABARAPL1,6,0
GALC,12,1
GALE,6,0
GALNT3,4,0
GAS1,2,0
GATA3,36,0
GCH1,16,0
GDF15,6,0
GDPD1,4,0
GDPD5,2,0
GGCT,4,0
GHR,14,0
GIMAP1,2,0
GIMAP8,2,0
GINS1,18,0
GINS2,24,0
GIPC2,2,0
GJB2,4,0
GLYAT,2,0
GNAI1,54,0
GNAL,20,0
GNG11,14,0
GNG12,10,0
GNG2,44,0
GOLM1,2,0
GPAM,16,0
GPAT3,10,0
GPC3,12,0
GPD1,14,0
GPER1,4,0
GPIHBP1,8,0
GPLD1,4,0
GPX3,8,0
GPX4,12,0
GRK3,8,0
GSN,14,0
GSTM5,8,0
GTSE1,32,0
GULP1,2,0
GYG2,6,0
GYPC,4,0
H2AC6,30,0
H2BC12,34,0
H2BC21,44,0
H2BC5,20,0
H2BC9,20,0
HABP4,2,0
HACD3,2,0
HBB,4,0
HELLS,16,0
HERC2,8,1
HIF3A,6,0
HIPK2,10,0
HMGCR,12,0
HMMR,118,0
HNF4G,2,1
HNMT,2,0
HNRNPAB,4,0
HNRNPD,14,0
HOMER1,4,0
HOOK1,2,0
HOXA10,6,0
HOXA4,2,0
HOXA5,8,0
HOXA7,6,0
HRAS,62,1
HSD11B1,6,0
HSD17B6,10,0
HSDL2,22,0
HSPA12A,6,0
HSPA12B,6,0
HSPA5,34,0
HSPB2,8,0
HSPB6,2,0
HSPG2,26,0
ICAM2,4,0
IDH2,16,0
IFI6,6,0
IFIH1,12,0
IGF1,72,0
IGFBP5,8,0
IGFBP6,4,0
IGSF3,2,0
IKZF3,4,0
IL11RA,2,0
IL1RN,2,0
ILDR1,2,0
INAVA,2,0
INHBA,6,0
INHBB,4,1
INMT,2,0
INPP4B,6,0
IQGAP3,4,0
IRF6,4,0
IRS1,52,0
IRS2,18,0
ISG20,4,0
ITGA1,24,0
ITGA7,24,0
ITIH5,2,0
ITPK1,2,0
ITPR1,14,1
ITSN1,10,0
JAM2,2,0
JUN,94,0
KANK1,2,0
KCNAB1,4,0
KCNB1,4,0
KCNJ2,6,0
KCNN4,2,1
KCNS3,4,0
KCNU1,2,1
KCTD15,8,0
KDM5B,8,0
KDM6A,26,1
KIF11,140,0
KIF14,82,0
KIF15,102,0
KIF20A,126,0
KIF23,110,0
KIF2C,122,0
KIF4A,112,0
KL,12,0
KLB,8,0
KLF1,12,0
KLF12,2,0
KLF15,2,0
KLF2,12,0
KLF4,32,1
KMO,8,0
KNL1,58,0
KPNA2,44,0
KRAS,74,1
KRT14,2,0
KRT15,2,0
KRT18,14,0
KRT19,16,0
KRT7,24,0
KRT8,22,0
KYNU,10,0
LAMA2,12,0
LAMA3,8,0
LAMA4,14,0
LAPTM4B,2,0
LDB2,4,0
LEF1,36,0
LEP,60,0
LGR6,2,1
LHX6,8,0
LIFR,8,0
LIMK2,2,0
LIMS2,2,0
LIPE,36,0
LLGL2,6,0
LMNB1,14,0
LMOD1,4,0
LOXL4,2,0
LPL,44,0
LRP1,24,0
LRP5,20,0
LSP1,16,1
LSR,4,0
LTF,16,0
LYVE1,10,0
LYZ,2,0
LZTR1,8,1
MAD2L1,132,0
MAF,14,0
MAGED2,4,0
MAL2,2,0
MAML2,6,0
MAOA,16,0
MAP3K1,18,1
MAPK13,22,0
MAPK6,8,0
MARVELD2,22,0
MARVELD3,10,0
MB,10,0
MBOAT2,22,0
MCAM,8,0
MCM2,50,0
MCM4,78,0
MCUR1,2,1
MDK,6,0
MDM4,18,1
ME1,4,0
MECOM,4,0
MEIS2,4,0
MELK,132,0
MEOX1,2,0
MEOX2,2,0
MESP1,2,0
MEST,6,0
METAP1D,2,1
MFAP4,10,0
MFAP5,8,0
MGLL,16,0
MICAL2,2,0
MICU3,2,0
MIF,10,0
MKI67,100,0
MLLT10,2,1
MLPH,2,0
MLXIPL,8,0
MME,16,0
MMP11,4,0
MMP12,4,0
MMP3,28,0
MMP9,74,0
MMRN2,4,0
MND1,52,0
MNX1,2,0
MOCS1,10,0
MRAP,2,0
MRAS,18,0
MRTFA,10,1
MSMO1,8,0
MSX1,14,0
MT1M,2,0
MT1X,2,0
MTFR2,2,0
MTHFD2,6,0
MUC1,26,0
MYB,14,0
MYC,138,1
MYH11,8,0
MYH9,16,1
MYL9,6,0
MYO5B,12,0
MYO6,4,0
MYOC,4,0
MYRIP,4,0
MZT2B,4,0
NAT8L,2,0
NCAM1,24,0
NCAPG,120,0
NCEH1,2,0
NCOA1,20,1
NDC80,108,0
NDN,2,0
NECTIN2,4,0
NECTIN3,4,0
NEGR1,4,0
NEK2,108,0
NF1,32,1
NFE2L3,6,0
NHP2,8,0
NME7,14,0
NMNAT2,4,0
NNAT,4,0
NOSTRIN,2,0
NPNT,2,0
NPR1,12,0
NPR2,12,0
NPR3,2,0
NPY1R,4,0
NR3C1,46,0
NR3C2,10,0
NRIP1,18,1
NSD2,18,0
NT5E,24,0
NTN1,2,1
NTRK2,34,0
NUF2,138,0
NUSAP1,124,0
OAZ3,2,0
OCLN,38,0
OGN,6,0
OIP5,74,0
OLR1,4,0
OMD,6,0
OPN3,2,0
ORC6,18,0
OSR2,4,0
OXTR,8,0
P2RY12,6,0
P2RY14,2,0
PABPC1L,4,0
PAFAH1B3,2,0
PAH,2,1
PAIP1,6,0
PALB2,34,1
PARD6B,12,0
PARVA,10,0
PATJ,12,0
PAX9,8,1
PBK,132,0
PBX1,22,1
PC,12,0
PCDH19,2,0
PCK1,20,0
PCLAF,86,0
PCNA,42,0
