biomarkerid	biomarkername	synonym	gene_id	biomarker_type	molecular_type	use_development	use_refid	confidence	with_condition	identity_method	source	development_stage	disease_subtype	population	sample_size	refid	displayorder	title	url
LCBD-1283	Tumor infiltrating lymphocytes (TIL)	TIL	7096	Predictive	Cell				the abundance of tumor infiltrating lymphocytes	assessing lymphocytic infiltration of CD8 + T cells in the tumor tissue		Research	Non–Small-Cell Lung Cancer (NSCLC)			1	1	Effect and biomarker of Nivolumab for non-small-cell lung cancer	https://pubmed.ncbi.nlm.nih.gov/31387181
LCBD-0039	Histologic subtype			Predictive	Tumor Histology							Research	Non–Small-Cell Lung Cancer (NSCLC)			2	1	A systematic review and Canadian consensus recommendations on the use of biomarkers in the treatment of non-small cell lung cancer	https://pubmed.ncbi.nlm.nih.gov/21709590
LCBD-0671	TGF-a (transforming growth factor)	TGF-a		Predictive	Small Molecular Compound			Potential				Research	Non–Small-Cell Lung Cancer (NSCLC)			7	1	Which biomarker predicts benefit from EGFR-TKI treatment for patients with lung cancer?	https://pubmed.ncbi.nlm.nih.gov/17325698
LCBD-0270	miR-25		407014	Prognostic	RNA				Patients exhibiting large amounts of two or more high-risk miRNAs in the serum had a significantly increased probability of shorter survival times	Solexa SEQ (sequencing-based approaches) uencing, Quantitative RT-PCR (reverse transcriptase)		Research	Non–Small-Cell Lung Cancer (NSCLC)		152	15	1	"Serum microRNAs as non-invasive biomarkers
for cancer"	https://pubmed.ncbi.nlm.nih.gov/21110877
LCBD-0310	miR-1		79187	Prognostic	RNA				Downregulated	Solexa SEQ (sequencing-based approaches) uencing, Quantitative RT-PCR (reverse transcriptase)		Approved	Non–Small-Cell Lung Cancer (NSCLC)		243	15	1	"Serum microRNAs as non-invasive biomarkers
for cancer"	https://pubmed.ncbi.nlm.nih.gov/21110877
LCBD-0548	miR-486		619554	Prognostic	RNA				Patients exhibiting large amounts of two or more high-risk miRNAs in the serum had a significantly increased probability of shorter survival times	Solexa SEQ (sequencing-based approaches) uencing, Quantitative RT-PCR (reverse transcriptase)		Approved	Non–Small-Cell Lung Cancer (NSCLC)		243	15	1	"Serum microRNAs as non-invasive biomarkers
for cancer"	https://pubmed.ncbi.nlm.nih.gov/21110877
LCBD-0738	miR-223		407008	Prognostic	RNA				Patients exhibiting large amounts of two or more high-risk miRNAs in the serum had a significantly increased probability of shorter survival times	Solexa SEQ (sequencing-based approaches) uencing, Quantitative RT-PCR (reverse transcriptase)		Research	Non–Small-Cell Lung Cancer (NSCLC)		152	15	1	"Serum microRNAs as non-invasive biomarkers
for cancer"	https://pubmed.ncbi.nlm.nih.gov/21110877
LCBD-0803	miR-30d		407033	Prognostic	RNA				Patients exhibiting large amounts of two or more high-risk miRNAs in the serum had a significantly increased probability of shorter survival times	Solexa SEQ (sequencing-based approaches) uencing, Quantitative RT-PCR (reverse transcriptase)		Approved	Non–Small-Cell Lung Cancer (NSCLC)		243	15	1	"Serum microRNAs as non-invasive biomarkers
for cancer"	https://pubmed.ncbi.nlm.nih.gov/21110877
LCBD-0810	miR-499		574501	Prognostic	RNA				Patients exhibiting large amounts of two or more high-risk miRNAs in the serum had a significantly increased probability of shorter survival times	Solexa SEQ (sequencing-based approaches) uencing, Quantitative RT-PCR (reverse transcriptase)		Approved	Non–Small-Cell Lung Cancer (NSCLC)		243	15	1	"Serum microRNAs as non-invasive biomarkers
for cancer"	https://pubmed.ncbi.nlm.nih.gov/21110877
LCBD-0209	GPIHBP1		338328	Diagnostic	mRNA				Expression	RT-PCR			Lung Cancer		892	17	1	Clinical verification of plasma messenger RNA as novel noninvasive biomarker identified through bioinformatics analysis for lung cancer	https://pubmed.ncbi.nlm.nih.gov/28410204
LCBD-0213	CDCA5		113130	Diagnostic	mRNA				Overexpression	RT-PCR			Lung Cancer		892	17	1	Clinical verification of plasma messenger RNA as novel noninvasive biomarker identified through bioinformatics analysis for lung cancer	https://pubmed.ncbi.nlm.nih.gov/28410204
LCBD-0224	TK1		7083	Diagnostic	mRNA				Overexpression	RT-PCR			Lung Cancer		892	17	1	Clinical verification of plasma messenger RNA as novel noninvasive biomarker identified through bioinformatics analysis for lung cancer	https://pubmed.ncbi.nlm.nih.gov/28410204
LCBD-0296	CLDN18		51208	Diagnostic	mRNA				Expression	RT-PCR			Lung Cancer		892	17	1	Clinical verification of plasma messenger RNA as novel noninvasive biomarker identified through bioinformatics analysis for lung cancer	https://pubmed.ncbi.nlm.nih.gov/28410204
LCBD-0313	FHL1		2273	Diagnostic	mRNA				Expression	RT-PCR			Lung Cancer		892	17	1	Clinical verification of plasma messenger RNA as novel noninvasive biomarker identified through bioinformatics analysis for lung cancer	https://pubmed.ncbi.nlm.nih.gov/28410204
LCBD-0740	GINS2		51659	Diagnostic	mRNA				Overexpression	RT-PCR			Lung Cancer		892	17	1	Clinical verification of plasma messenger RNA as novel noninvasive biomarker identified through bioinformatics analysis for lung cancer	https://pubmed.ncbi.nlm.nih.gov/28410204
LCBD-0876	AGER		177	Diagnostic	mRNA				Expression	RT-PCR			Lung Cancer		892	17	1	Clinical verification of plasma messenger RNA as novel noninvasive biomarker identified through bioinformatics analysis for lung cancer	https://pubmed.ncbi.nlm.nih.gov/28410204
LCBD-0883	GPT2		84706	Diagnostic	mRNA				Overexpression	RT-PCR			Lung Cancer		892	17	1	Clinical verification of plasma messenger RNA as novel noninvasive biomarker identified through bioinformatics analysis for lung cancer	https://pubmed.ncbi.nlm.nih.gov/28410204
LCBD-0970	TOP2A		7153	Diagnostic	mRNA				Overexpression	RT-PCR			Lung Cancer		892	17	1	Clinical verification of plasma messenger RNA as novel noninvasive biomarker identified through bioinformatics analysis for lung cancer	https://pubmed.ncbi.nlm.nih.gov/28410204
LCBD-1050	ADAMTS8		11095	Diagnostic	mRNA				Expression	RT-PCR			Lung Cancer		892	17	1	Clinical verification of plasma messenger RNA as novel noninvasive biomarker identified through bioinformatics analysis for lung cancer	https://pubmed.ncbi.nlm.nih.gov/28410204
LCBD-1349	HJURP		55355	Diagnostic	mRNA				Overexpression	RT-PCR			Lung Cancer		892	17	1	Clinical verification of plasma messenger RNA as novel noninvasive biomarker identified through bioinformatics analysis for lung cancer	https://pubmed.ncbi.nlm.nih.gov/28410204
LCBD-1409	ADH1B		125	Diagnostic	mRNA				Expression	RT-PCR			Lung Cancer		892	17	1	Clinical verification of plasma messenger RNA as novel noninvasive biomarker identified through bioinformatics analysis for lung cancer	https://pubmed.ncbi.nlm.nih.gov/28410204
LCBD-0127	8-oxodG			Predictive	Micromolecule 				Increased level of 8-oxodG levels	"HPLC-MS or HPLC-ECD "		Approved	Lung Cancer			19	1	A review of the application of inflammatory biomarkers in epidemiologic cancer research	https://pubmed.ncbi.nlm.nih.gov/24962838
LCBD-0127	8-oxodG			Predictive	Micromolecule 				Increased level of 8-oxodG levels	ELISA		Approved	Lung Cancer			19	2	A review of the application of inflammatory biomarkers in epidemiologic cancer research	https://pubmed.ncbi.nlm.nih.gov/24962838
LCBD-0457	Th17 cells			Prognostic	Cell				Expression	multicolor flow cytometry		Approved	Lung Cancer			19	1	A review of the application of inflammatory biomarkers in epidemiologic cancer research	https://pubmed.ncbi.nlm.nih.gov/24962838
LCBD-1004	MDA			Predictive	Micromolecule 					ELISA, HPLC methods		Research	Lung Cancer			19	1	A review of the application of inflammatory biomarkers in epidemiologic cancer research	https://pubmed.ncbi.nlm.nih.gov/24962838
LCBD-1283	Tumor-infiltrating lymphocytes (TIL)	TIL	7096	Prognostic	Cell					immunohistochemistry (IHC (immunohistochemistry))		Approved	Lung Cancer			19	2	A review of the application of inflammatory biomarkers in epidemiologic cancer research	https://pubmed.ncbi.nlm.nih.gov/24962838
LCBD-1296	3-Nitrotyrosine		335	Analysis	Micromolecule 				High expression	HPLC		Research	Lung Cancer			19	1	A review of the application of inflammatory biomarkers in epidemiologic cancer research	https://pubmed.ncbi.nlm.nih.gov/24962838
LCBD-0869	heptane			Predictive	Organic Compound				Higher levels than control subjects			Research	Non–Small-Cell Lung Cancer (NSCLC)			28	1	Exhaled biomarkers in lung cancer.	https://pubmed.ncbi.nlm.nih.gov/19567608
LCBD-1117	volatile organic compound (VOC)	VOC		Predictive	Organic Compound				"Changed apparently in patients with lung cancer "	"proteomics, metabolomics, mass spectromics, gas chromatography/mass spectrometry (GC-MS) and ion mobility
spectrometries"		Research	Lung Cancer			28	1	Exhaled biomarkers in lung cancer.	https://pubmed.ncbi.nlm.nih.gov/19567608
LCBD-1273	isoprene			Predictive	Organic Compound				Higher levels than control subjects			Research	Non–Small-Cell Lung Cancer (NSCLC)			28	1	Exhaled biomarkers in lung cancer.	https://pubmed.ncbi.nlm.nih.gov/19567608
LCBD-0195	GSTZ1		2954	Predictive	mRNA				"Variability in the expression of   Antioxidant and DNA repair pathways genes "			Research	Lung Cancer			33	1	The Airway Transcriptome as a Biomarker for Early Lung Cancer Detection	https://pubmed.ncbi.nlm.nih.gov/29463557
LCBD-0249	CEBPG		1054	Predictive	mRNA				"Variability in the expression of   Antioxidant and DNA repair pathways genes "			Research	Lung Cancer			33	1	The Airway Transcriptome as a Biomarker for Early Lung Cancer Detection	https://pubmed.ncbi.nlm.nih.gov/29463557
LCBD-0272	MGST1		4257	Predictive	mRNA				"Variability in the expression of   Antioxidant and DNA repair pathways genes "			Research	Lung Cancer			33	1	The Airway Transcriptome as a Biomarker for Early Lung Cancer Detection	https://pubmed.ncbi.nlm.nih.gov/29463557
LCBD-0583	XRCC1		7515	Predictive	mRNA				"Variability in the expression of   Antioxidant and DNA repair pathways genes "			Research	Lung Cancer			33	1	The Airway Transcriptome as a Biomarker for Early Lung Cancer Detection	https://pubmed.ncbi.nlm.nih.gov/29463557
LCBD-0657	LAPTM4B		55353	Predictive	mRNA				Tumor-associated gene expression decreases; genes consistently altered			Research	Lung Cancer			33	1	The Airway Transcriptome as a Biomarker for Early Lung Cancer Detection	https://pubmed.ncbi.nlm.nih.gov/29463557
LCBD-0666	ERCC4		2072	Predictive	mRNA				"Variability in the expression of   Antioxidant and DNA repair pathways genes "			Research	Lung Cancer			33	1	The Airway Transcriptome as a Biomarker for Early Lung Cancer Detection	https://pubmed.ncbi.nlm.nih.gov/29463557
LCBD-0670	SOD1		6647	Predictive	mRNA				"Variability in the expression of   Antioxidant and DNA repair pathways genes "			Research	Lung Cancer			33	1	The Airway Transcriptome as a Biomarker for Early Lung Cancer Detection	https://pubmed.ncbi.nlm.nih.gov/29463557
LCBD-0688	IL8	IL-8	3576	Predictive	mRNA				"Variability in the expression of  Inflammation genes "			Research	Lung Cancer			33	1	The Airway Transcriptome as a Biomarker for Early Lung Cancer Detection	https://pubmed.ncbi.nlm.nih.gov/29463557
LCBD-0759	PLA2G4A		5321	Predictive	mRNA				"Variability in the expression of  Inflammation genes "			Research	Lung Cancer			33	1	The Airway Transcriptome as a Biomarker for Early Lung Cancer Detection	https://pubmed.ncbi.nlm.nih.gov/29463557
LCBD-0780	DEFB1		1672	Predictive	mRNA				"Variability in the expression of  Inflammation genes "			Research	Lung Cancer			33	1	The Airway Transcriptome as a Biomarker for Early Lung Cancer Detection	https://pubmed.ncbi.nlm.nih.gov/29463557
LCBD-0834	E2F			Predictive	mRNA				"Variability in the expression of   Antioxidant and DNA repair pathways genes "			Research	Lung Cancer			33	1	The Airway Transcriptome as a Biomarker for Early Lung Cancer Detection	https://pubmed.ncbi.nlm.nih.gov/29463557
LCBD-0847	ERCC5		2073	Predictive	mRNA				"Variability in the expression of   Antioxidant and DNA repair pathways genes "			Research	Lung Cancer			33	1	The Airway Transcriptome as a Biomarker for Early Lung Cancer Detection	https://pubmed.ncbi.nlm.nih.gov/29463557
LCBD-0910	TGFBR2		7048	Predictive	mRNA				Tumor-associated gene expression decreases; genes consistently altered			Research	Lung Cancer			33	1	The Airway Transcriptome as a Biomarker for Early Lung Cancer Detection	https://pubmed.ncbi.nlm.nih.gov/29463557
LCBD-0962	CAT		847	Predictive	mRNA				"Variability in the expression of Antioxidant and DNA repair pathways genes "			Research	Lung Cancer			33	1	The Airway Transcriptome as a Biomarker for Early Lung Cancer Detection	https://pubmed.ncbi.nlm.nih.gov/29463557
LCBD-1026	C6		729	Predictive	mRNA				"Variability in the expression of  Inflammation genes "			Research	Lung Cancer			33	1	The Airway Transcriptome as a Biomarker for Early Lung Cancer Detection	https://pubmed.ncbi.nlm.nih.gov/29463557
LCBD-1030	SERPINA1		5265	Predictive	mRNA				"Variability in the expression of  Inflammation genes "			Research	Lung Cancer			33	1	The Airway Transcriptome as a Biomarker for Early Lung Cancer Detection	https://pubmed.ncbi.nlm.nih.gov/29463557
LCBD-1073	NETO2		81831	Predictive	mRNA				Tumor-associated gene expression decreases; genes consistently altered			Research	Lung Cancer			33	1	The Airway Transcriptome as a Biomarker for Early Lung Cancer Detection	https://pubmed.ncbi.nlm.nih.gov/29463557
LCBD-1090	GSTP1		2950	Predictive	mRNA				"Variability in the expression of   Antioxidant and DNA repair pathways genes "			Research	Lung Cancer			33	1	The Airway Transcriptome as a Biomarker for Early Lung Cancer Detection	https://pubmed.ncbi.nlm.nih.gov/29463557
LCBD-1132	VIPR1		7433	Predictive	mRNA				Tumor-associated gene expression decreases; genes consistently altered			Research	Lung Cancer			33	1	The Airway Transcriptome as a Biomarker for Early Lung Cancer Detection	https://pubmed.ncbi.nlm.nih.gov/29463557
LCBD-1330	FCGR3A		2215	Predictive	mRNA				"Variability in the expression of  Inflammation genes "			Research	Lung Cancer			33	1	The Airway Transcriptome as a Biomarker for Early Lung Cancer Detection	https://pubmed.ncbi.nlm.nih.gov/29463557
LCBD-1416	GSTM3		2947	Predictive	mRNA				"Variability in the expression of   Antioxidant and DNA repair pathways genes "			Research	Lung Cancer			33	1	The Airway Transcriptome as a Biomarker for Early Lung Cancer Detection	https://pubmed.ncbi.nlm.nih.gov/29463557
LCBD-1452	GSTT1		2952	Predictive	mRNA				"Variability in the expression of   Antioxidant and DNA repair pathways genes "			Research	Lung Cancer			33	1	The Airway Transcriptome as a Biomarker for Early Lung Cancer Detection	https://pubmed.ncbi.nlm.nih.gov/29463557
LCBD-1345	circulating tumor cell			Prognostic	Cell				TCT number changes	FISH		Clinical	Small-Cell Lung Cancer		39	34	1	Phase II study of single-agent navitoclax (ABT-263) and biomarker correlates in patients with relapsed small cell lung cancer	https://pubmed.ncbi.nlm.nih.gov/22496272
LCBD-0133	Retinoblastoma			Prognostic	Cell				Retinoblastoma expression levels	IHC (immunohistochemistry)		Research	Non–Small-Cell Lung Cancer (NSCLC)		1232	39	1	Prognostic implications of cell cycle, apoptosis, and angiogenesis biomarkers in non-small cell lung cancer: a review	https://pubmed.ncbi.nlm.nih.gov/15930332
LCBD-0226	" RbAp48"		5928	Prognostic	DNA				Overexpression	gene expression profiles		Research	Lung Cancer			41	1	"Biomarkers in Lung Cancer: 
Integration with Radiogenomics Data"	"http://dx.doi.org/10.5772/53426 "
LCBD-1070	R5PIA			Prognostic	DNA							Research	Lung Cancer			41	1	"Biomarkers in Lung Cancer: 
Integration with Radiogenomics Data"	"http://dx.doi.org/10.5772/53426 "
LCBD-1269	RGS19		10287	Prognostic	DNA							Research	Lung Cancer			41	1	"Biomarkers in Lung Cancer: 
Integration with Radiogenomics Data"	"http://dx.doi.org/10.5772/53426 "
LCBD-0215	Mn			Diagnostic	Inorganics				Decreased			Research	Lung Cancer			49	1	Biomarkers of ambient air pollution and lung cancer: a systematic review	https://pubmed.ncbi.nlm.nih.gov/22773658
LCBD-0231	Oxidised nucleobases			Diagnostic	DNA				High level			Research	Lung Cancer		1066	49	1	Biomarkers of ambient air pollution and lung cancer: a systematic review	https://pubmed.ncbi.nlm.nih.gov/22773658
LCBD-0289	Alu			Diagnostic	DNA				"Methylation "			Research	Lung Cancer			49	1	Biomarkers of ambient air pollution and lung cancer: a systematic review	https://pubmed.ncbi.nlm.nih.gov/22773658
LCBD-0427	LINE-1			Diagnostic	DNA				"Methylation "			Research	Lung Cancer			49	1	Biomarkers of ambient air pollution and lung cancer: a systematic review	https://pubmed.ncbi.nlm.nih.gov/22773658
LCBD-0020	p53		7157	Diagnostic	Autoantibody				p53 expression levels	ELISA		Research	Non–Small-Cell Lung Cancer (NSCLC)			56	13	The state of molecular biomarkers for the early detection of lung cancer	https://pubmed.ncbi.nlm.nih.gov/22689914
LCBD-0022	MTHFR		4524	Diagnostic	DNA				Methylation	Methylation array		Research	Squamous Cell Carcinoma (SCC)			56	1	The state of molecular biomarkers for the early detection of lung cancer	https://pubmed.ncbi.nlm.nih.gov/22689914
LCBD-0028	E2F1		1869	Diagnostic	mRNA				Aberrant expression	RT-PCR		Research	Non–Small-Cell Lung Cancer (NSCLC)			56	1	The state of molecular biomarkers for the early detection of lung cancer	https://pubmed.ncbi.nlm.nih.gov/22689914
LCBD-0030	RUNX			Diagnostic	DNA				Methylation	Methylation array		Research	Non–Small-Cell Lung Cancer (NSCLC)			56	1	The state of molecular biomarkers for the early detection of lung cancer	https://pubmed.ncbi.nlm.nih.gov/22689914
LCBD-0038	S100P		6286	Diagnostic	mRNA				Aberrant expression	qRT-PCR		Research	Non–Small-Cell Lung Cancer (NSCLC)			56	1	The state of molecular biomarkers for the early detection of lung cancer	https://pubmed.ncbi.nlm.nih.gov/22689914
LCBD-0041	LOC147		147004	Diagnostic	mRNA				Aberrant expression	qRT-PCR		Research	Non–Small-Cell Lung Cancer (NSCLC)			56	1	The state of molecular biomarkers for the early detection of lung cancer	https://pubmed.ncbi.nlm.nih.gov/22689914
LCBD-0047	cyto C			Diagnostic	MALDI signature				Aberrant expression	MALDI/MS		Research	Non–Small-Cell Lung Cancer (NSCLC)			56	1	The state of molecular biomarkers for the early detection of lung cancer	https://pubmed.ncbi.nlm.nih.gov/22689914
LCBD-0061	CD30 ligand			Diagnostic	Aptamer				CD30 ligand expression levels	Aptamers		Research	Non–Small-Cell Lung Cancer (NSCLC)			56	1	The state of molecular biomarkers for the early detection of lung cancer	https://pubmed.ncbi.nlm.nih.gov/22689914
LCBD-0076	SHOX2		6474	Diagnostic	DNA				Methylation	qPCR		Research	Non–Small-Cell Lung Cancer (NSCLC)			56	2	The state of molecular biomarkers for the early detection of lung cancer	https://pubmed.ncbi.nlm.nih.gov/22689914
LCBD-0076	SHOX2		6474	Diagnostic	DNA				Methylation	PCR		Research	Non–Small-Cell Lung Cancer (NSCLC)			56	1	The state of molecular biomarkers for the early detection of lung cancer	https://pubmed.ncbi.nlm.nih.gov/22689914
LCBD-0104	GBU4-5			Diagnostic	Autoantibody				GBU4-5 expression levels	ELISA		Research	Non–Small-Cell Lung Cancer (NSCLC)			56	2	The state of molecular biomarkers for the early detection of lung cancer	https://pubmed.ncbi.nlm.nih.gov/22689914
LCBD-0115	CDH13		1012	Diagnostic	DNA				Methylation	Methylation array		Research	Non–Small-Cell Lung Cancer (NSCLC)			56	1	The state of molecular biomarkers for the early detection of lung cancer	https://pubmed.ncbi.nlm.nih.gov/22689914
LCBD-0143	Desubiquitin			Diagnostic	MALDI signature				Aberrant expression	MALDI/MS		Research	Non–Small-Cell Lung Cancer (NSCLC)			56	1	The state of molecular biomarkers for the early detection of lung cancer	https://pubmed.ncbi.nlm.nih.gov/22689914
LCBD-0144	endostatin			Diagnostic	Aptamer				endostatin expression levels	Aptamers		Research	Non–Small-Cell Lung Cancer (NSCLC)			56	1	The state of molecular biomarkers for the early detection of lung cancer	https://pubmed.ncbi.nlm.nih.gov/22689914
LCBD-0172	CBLC		23624	Diagnostic	mRNA				Aberrant expression	qRT-PCR		Research	Non–Small-Cell Lung Cancer (NSCLC)			56	1	The state of molecular biomarkers for the early detection of lung cancer	https://pubmed.ncbi.nlm.nih.gov/22689914
LCBD-0182	MIP-4		6362	Diagnostic	Aptamer				MIP-4 expression levels	Aptamers		Research	Non–Small-Cell Lung Cancer (NSCLC)			56	1	The state of molecular biomarkers for the early detection of lung cancer	https://pubmed.ncbi.nlm.nih.gov/22689914
LCBD-0183	GPX3		2878	Diagnostic	mRNA				Aberrant expression	RT-PCR		Research	Non–Small-Cell Lung Cancer (NSCLC)			56	1	The state of molecular biomarkers for the early detection of lung cancer	https://pubmed.ncbi.nlm.nih.gov/22689914
LCBD-0183	GPX3		2878	Diagnostic	mRNA				Aberrant expression	RT-PCR		Research	Non–Small-Cell Lung Cancer (NSCLC)			56	1	The state of molecular biomarkers for the early detection of lung cancer	https://pubmed.ncbi.nlm.nih.gov/22689914
LCBD-0190	HSP90a		3320	Diagnostic	Aptamer				HSP90a expression levels	Aptamers		Research	Non–Small-Cell Lung Cancer (NSCLC)			56	1	The state of molecular biomarkers for the early detection of lung cancer	https://pubmed.ncbi.nlm.nih.gov/22689914
LCBD-0195	GSTZ1		2954	Diagnostic	mRNA				Aberrant expression	RT-PCR		Research	Non–Small-Cell Lung Cancer (NSCLC)			56	2	The state of molecular biomarkers for the early detection of lung cancer	https://pubmed.ncbi.nlm.nih.gov/22689914
LCBD-0228	CYP24A1		1591	Diagnostic	mRNA				Aberrant expression	qRT-PCR		Research	Non–Small-Cell Lung Cancer (NSCLC)			56	1	The state of molecular biomarkers for the early detection of lung cancer	https://pubmed.ncbi.nlm.nih.gov/22689914
LCBD-0249	CEBPG		1054	Diagnostic	mRNA				Aberrant expression	RT-PCR		Research	Non–Small-Cell Lung Cancer (NSCLC)			56	2	The state of molecular biomarkers for the early detection of lung cancer	https://pubmed.ncbi.nlm.nih.gov/22689914
LCBD-0259	FHIT		2272	Diagnostic	DNA					FISH		Research	Non–Small-Cell Lung Cancer (NSCLC)			56	1	The state of molecular biomarkers for the early detection of lung cancer	https://pubmed.ncbi.nlm.nih.gov/22689914
LCBD-0272	MGST1		4257	Diagnostic	mRNA				Aberrant expression	RT-PCR		Research	Non–Small-Cell Lung Cancer (NSCLC)			56	2	The state of molecular biomarkers for the early detection of lung cancer	https://pubmed.ncbi.nlm.nih.gov/22689914
LCBD-0280	RARb		5915	Diagnostic	DNA				Methylation	Methylation array		Research	Non–Small-Cell Lung Cancer (NSCLC)			56	1	The state of molecular biomarkers for the early detection of lung cancer	https://pubmed.ncbi.nlm.nih.gov/22689914
LCBD-0295	TP63		8626	Diagnostic	DNA					FISH		Research	Non–Small-Cell Lung Cancer (NSCLC)			56	3	The state of molecular biomarkers for the early detection of lung cancer	https://pubmed.ncbi.nlm.nih.gov/22689914
LCBD-0307	cadherin-1			Diagnostic	Aptamer				cadherin-1 expression levels	Aptamers		Research	Non–Small-Cell Lung Cancer (NSCLC)			56	1	The state of molecular biomarkers for the early detection of lung cancer	https://pubmed.ncbi.nlm.nih.gov/22689914
LCBD-0320	MYC		4609	Diagnostic	DNA					FISH		Research	Non–Small-Cell Lung Cancer (NSCLC)			56	1	The state of molecular biomarkers for the early detection of lung cancer	https://pubmed.ncbi.nlm.nih.gov/22689914
LCBD-0321	TCF21		6943	Diagnostic	DNA				Methylation	PCR			Non–Small-Cell Lung Cancer (NSCLC)			56	2	The state of molecular biomarkers for the early detection of lung cancer	https://pubmed.ncbi.nlm.nih.gov/22689914
LCBD-0321	TCF21		6943	Diagnostic	DNA				Methylation	Methylation array		Research	Squamous Cell Carcinoma (SCC)			56	1	The state of molecular biomarkers for the early detection of lung cancer	https://pubmed.ncbi.nlm.nih.gov/22689914
LCBD-0345	CDKN2A		1029	Diagnostic	DNA				Methylation	Methylation array		Research	Non–Small-Cell Lung Cancer (NSCLC)			56	1	The state of molecular biomarkers for the early detection of lung cancer	https://pubmed.ncbi.nlm.nih.gov/22689914
LCBD-0347	RASSF1A		11186	Diagnostic	DNA				Methylation	qPCR		Research	Non–Small-Cell Lung Cancer (NSCLC)			56	1	The state of molecular biomarkers for the early detection of lung cancer	https://pubmed.ncbi.nlm.nih.gov/22689914
LCBD-0349	SCF-sR			Diagnostic	Aptamer				SCF-sR expression levels	Aptamers		Research	Non–Small-Cell Lung Cancer (NSCLC)			56	1	The state of molecular biomarkers for the early detection of lung cancer	https://pubmed.ncbi.nlm.nih.gov/22689914
LCBD-0357	CSTA		1475	Diagnostic	MALDI signature				Aberrant expression	MALDI/MS		Research	Non–Small-Cell Lung Cancer (NSCLC)			56	2	The state of molecular biomarkers for the early detection of lung cancer	https://pubmed.ncbi.nlm.nih.gov/22689914
LCBD-0384	p16		1029	Diagnostic	DNA				Methylation	PCR		Research	Squamous Cell Carcinoma (SCC)			56	4	The state of molecular biomarkers for the early detection of lung cancer	https://pubmed.ncbi.nlm.nih.gov/22689914
LCBD-0428	MGMT		4255	Diagnostic	DNA				Methylation	qPCR		Research	Non–Small-Cell Lung Cancer (NSCLC)			56	1	The state of molecular biomarkers for the early detection of lung cancer	https://pubmed.ncbi.nlm.nih.gov/22689914
LCBD-0428	MGMT		4255	Diagnostic	DNA				Methylation	PCR		Research	Squamous Cell Carcinoma (SCC)			56	2	The state of molecular biomarkers for the early detection of lung cancer	https://pubmed.ncbi.nlm.nih.gov/22689914
LCBD-0442	14-3-3 Theta		10971	Diagnostic	Autoantibody				14-3-3 theta expression levels	Protein array		Research	Non–Small-Cell Lung Cancer (NSCLC)			56	1	The state of molecular biomarkers for the early detection of lung cancer	https://pubmed.ncbi.nlm.nih.gov/22689914
LCBD-0450	LRIG3		121227	Diagnostic	Aptamer				LRIG3 expression levels	Aptamers		Research	Non–Small-Cell Lung Cancer (NSCLC)			56	1	The state of molecular biomarkers for the early detection of lung cancer	https://pubmed.ncbi.nlm.nih.gov/22689914
LCBD-0472	PITX2		5308	Diagnostic	DNA				Methylation	Methylation array		Research	Squamous Cell Carcinoma (SCC)			56	1	The state of molecular biomarkers for the early detection of lung cancer	https://pubmed.ncbi.nlm.nih.gov/22689914
LCBD-0494	NY-ESO-1		246100	Diagnostic	Autoantibody				NY-ESO-1 expression levels	ELISA		Research	Non–Small-Cell Lung Cancer (NSCLC)			56	4	The state of molecular biomarkers for the early detection of lung cancer	https://pubmed.ncbi.nlm.nih.gov/22689914
LCBD-0503	RGM-C			Diagnostic	Aptamer				RGM-C expression levels	Aptamers		Research	Non–Small-Cell Lung Cancer (NSCLC)			56	1	The state of molecular biomarkers for the early detection of lung cancer	https://pubmed.ncbi.nlm.nih.gov/22689914
LCBD-0569	OPCML		4978	Diagnostic	DNA				Methylation	Methylation array		Research	Squamous Cell Carcinoma (SCC)			56	1	The state of molecular biomarkers for the early detection of lung cancer	https://pubmed.ncbi.nlm.nih.gov/22689914
LCBD-0575	ubiquitin			Diagnostic	MALDI signature				Aberrant expression	MALDI/MS		Research	Non–Small-Cell Lung Cancer (NSCLC)			56	4	The state of molecular biomarkers for the early detection of lung cancer	https://pubmed.ncbi.nlm.nih.gov/22689914
LCBD-0575	ubiquilin			Diagnostic	Autoantibody				ubiquitin expression levels	ELISA		Research	Non–Small-Cell Lung Cancer (NSCLC)			56	1	The state of molecular biomarkers for the early detection of lung cancer	https://pubmed.ncbi.nlm.nih.gov/22689914
LCBD-0577	CAGE		168400	Diagnostic	Autoantibody				CAGE expression levels	ELISA		Research	Non–Small-Cell Lung Cancer (NSCLC)			56	2	The state of molecular biomarkers for the early detection of lung cancer	https://pubmed.ncbi.nlm.nih.gov/22689914
LCBD-0580	IMPDH			Diagnostic	Autoantibody				IMPDH expression levels	ELISA		Research	Non–Small-Cell Lung Cancer (NSCLC)			56	1	The state of molecular biomarkers for the early detection of lung cancer	https://pubmed.ncbi.nlm.nih.gov/22689914
LCBD-0580	IMPDH			Diagnostic	Autoantibody				IMPDH expression levels	ELISA		Research	Non–Small-Cell Lung Cancer (NSCLC)			56	1	The state of molecular biomarkers for the early detection of lung cancer	https://pubmed.ncbi.nlm.nih.gov/22689914
