Gene,GO_Description_Text
SRP72,"[BP] SRP-dependent cotranslational protein targeting to membrane [CC] cytoplasm; cytosol; endoplasmic reticulum; ribonucleoprotein complex; signal recognition particle; signal recognition particle, endoplasmic reticulum targeting [MF] 7S RNA binding; RNA binding; TPR domain binding; protein binding; ribosome binding; signal recognition particle binding"
JTB,[BP] apoptotic mitochondrial changes; apoptotic process; cell division; mitotic cell cycle; mitotic cytokinesis; positive regulation of protein kinase activity; regulation of cell population proliferation [CC] centrosome; cytoplasm; cytoskeleton; membrane; midbody; mitochondrion; plasma membrane; spindle [MF] protein kinase binding
CST7,[BP] immune response; lysosomal protein catabolic process; negative regulation of microglial cell activation; positive regulation of myelination; regulation of antigen processing and presentation [CC] Golgi apparatus; cytoplasm; cytoplasmic vesicle; endoplasmic reticulum; endosome; extracellular region; extracellular space; late endosome; lysosome; multivesicular body [MF] cysteine-type endopeptidase inhibitor activity; endopeptidase inhibitor activity; peptidase inhibitor activity; protease binding; protein binding; protein homodimerization activity
OR7C1,[BP] G protein-coupled receptor signaling pathway; detection of chemical stimulus involved in sensory perception of smell; sensory perception of smell; signal transduction; spermatogenesis [CC] membrane; plasma membrane [MF] G protein-coupled receptor activity; olfactory receptor activity; protein binding
OR7A10,[BP] G protein-coupled receptor signaling pathway; detection of chemical stimulus involved in sensory perception of smell; sensory perception of smell; signal transduction [CC] membrane; plasma membrane [MF] G protein-coupled receptor activity; olfactory receptor activity
DXO,[BP] NAD-cap decapping; RNA destabilization; mRNA catabolic process; nuclear mRNA surveillance; nuclear-transcribed mRNA catabolic process; nucleic acid metabolic process [CC] cytosol; nucleoplasm; nucleus; plasma membrane [MF] 5'-3' exonuclease activity; RNA NAD+-cap (NAD+-forming) hydrolase activity; RNA binding; exonuclease activity; hydrolase activity; mRNA 5'-diphosphatase activity; mRNA binding; magnesium ion binding; metal ion binding; nuclease activity; nucleotide binding; protein binding
TRPM2,[BP] calcium ion import across plasma membrane; calcium ion transmembrane import into cytosol; calcium ion transmembrane transport; calcium ion transport; calcium-mediated signaling; cellular response to calcium ion; cellular response to hydrogen peroxide; cellular response to temperature stimulus; dendritic cell chemotaxis; dendritic cell differentiation; manganese ion transmembrane transport; manganese ion transport; monoatomic ion transmembrane transport; monoatomic ion transport; protein homotetramerization; regulation of actin cytoskeleton organization; regulation of filopodium assembly; release of sequestered calcium ion into cytosol; response to heat; response to hydroperoxide; response to purine-containing compound; sodium ion transmembrane transport; sodium ion transport; temperature homeostasis; transmembrane transport; zinc ion transmembrane transport [CC] cell projection; cytoplasmic vesicle; cytoplasmic vesicle membrane; ficolin-1-rich granule membrane; lysosomal membrane; lysosome; membrane; perikaryon; plasma membrane; specific granule membrane; tertiary granule membrane [MF] ADP-ribose diphosphatase activity; calcium channel activity; calcium ion binding; hydrolase activity; intracellularly gated calcium channel activity; ligand-gated calcium channel activity; manganese ion transmembrane transporter activity; metal ion binding; metal ion transmembrane transporter activity; mono-ADP-D-ribose binding; monoatomic cation channel activity; monoatomic ion channel activity; sodium channel activity
DDAH1,[BP] arginine catabolic process; arginine metabolic process; citrulline metabolic process; negative regulation of cell population proliferation; negative regulation of cellular response to hypoxia; negative regulation of vascular permeability; nitric oxide mediated signal transduction; nitric oxide metabolic process; positive regulation of angiogenesis; positive regulation of nitric oxide biosynthetic process; regulation of systemic arterial blood pressure [CC] cytosol; extracellular exosome [MF] amino acid binding; catalytic activity; dimethylargininase activity; hydrolase activity; metal ion binding
RECQL4,"[BP] DNA recombination; DNA repair; DNA replication; chromosome organization; double-strand break repair via homologous recombination; telomere maintenance; telomeric D-loop disassembly [CC] chromosome; chromosome, telomeric region; cytoplasm; membrane; nucleoplasm; nucleus [MF] 3'-5' DNA helicase activity; ATP binding; ATP hydrolysis activity; DNA binding; DNA/DNA annealing activity; bubble DNA binding; catalytic activity, acting on DNA; four-way junction helicase activity; helicase activity; hydrolase activity; isomerase activity; metal ion binding; nucleic acid binding; nucleotide binding; oxidized purine DNA binding; protein binding; telomeric D-loop binding"
RECQL5,"[BP] DNA damage response; DNA metabolic process; DNA recombination; DNA repair; DNA replication; cell division; cellular response to camptothecin; cellular response to xenobiotic stimulus; chromosome separation; double-strand break repair via homologous recombination; mitotic DNA-templated DNA replication; mitotic cell cycle; negative regulation of double-strand break repair via homologous recombination; negative regulation of macromolecule metabolic process; negative regulation of nucleobase-containing compound metabolic process; negative regulation of transcription elongation by RNA polymerase II; regulation of DNA-templated transcription; replication-born double-strand break repair via sister chromatid exchange [CC] chromosome; cytoplasm; cytosol; nucleoplasm; nucleus; replication fork; transcription preinitiation complex [MF] 3'-5' DNA helicase activity; ATP binding; ATP hydrolysis activity; DNA binding; DNA helicase activity; RNA polymerase II complex binding; catalytic activity, acting on DNA; four-way junction helicase activity; helicase activity; hydrolase activity; isomerase activity; metal ion binding; nucleic acid binding; nucleotide binding"
URI1,[BP] cellular response to growth factor stimulus; cellular response to steroid hormone stimulus; intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator; negative regulation of intrinsic apoptotic signaling pathway; negative regulation of phosphatase activity; negative regulation of transcription by RNA polymerase II; protein stabilization; regulation of cell growth; regulation of transcription by RNA polymerase II; response to virus [CC] RPAP3/R2TP/prefoldin-like complex; cell projection; cytoplasm; cytosol; dendrite; mitochondrion; nucleoplasm; nucleus; protein folding chaperone complex; protein-containing complex [MF] RNA polymerase II complex binding; chromatin binding; phosphatase inhibitor activity; phosphoprotein binding; protein binding; protein phosphatase inhibitor activity; transcription corepressor activity
B3GAT3,[BP] carbohydrate metabolic process; chondroitin sulfate proteoglycan biosynthetic process; dermatan sulfate proteoglycan biosynthetic process; glycosaminoglycan biosynthetic process; heparan sulfate proteoglycan biosynthetic process; positive regulation of catalytic activity; positive regulation of intracellular protein transport; protein glycosylation [CC] Golgi apparatus; Golgi membrane; cis-Golgi network; extracellular exosome; membrane [MF] galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase activity; glucuronosyltransferase activity; metal ion binding; protein binding; protein phosphatase activator activity; transferase activity
STK17B,[BP] apoptotic process; intracellular signal transduction; positive regulation of apoptotic process; positive regulation of fibroblast apoptotic process; programmed cell death; protein autophosphorylation; protein phosphorylation [CC] Flemming body; actin cytoskeleton; endoplasmic reticulum-Golgi intermediate compartment; membrane; nucleoplasm; nucleus; plasma membrane [MF] ATP binding; kinase activity; nucleotide binding; protein kinase activity; protein serine kinase activity; protein serine/threonine kinase activity; transferase activity
ECM2,[BP] cell-matrix adhesion; extracellular matrix organization; positive regulation of cell-substrate adhesion [CC] extracellular matrix; extracellular region; interstitial matrix [MF] collagen V binding; collagen binding; heparin binding; integrin binding; protein-containing complex binding
LY6H,[BP] acetylcholine receptor signaling pathway; animal organ morphogenesis; nervous system development [CC] extracellular region; membrane; plasma membrane; side of membrane; synapse [MF] acetylcholine receptor binding; acetylcholine receptor inhibitor activity; protein binding
MTA2,"[BP] chromatin organization; chromatin remodeling; genomic imprinting; negative regulation of DNA-templated transcription; negative regulation of transcription by RNA polymerase II; positive regulation of DNA-templated transcription; positive regulation of transcription by RNA polymerase II; regulation of DNA-templated transcription; regulation of cell fate specification; regulation of fibroblast migration; regulation of stem cell differentiation [CC] NuRD complex; chromatin; chromosome, telomeric region; histone deacetylase complex; membrane; nucleoplasm; nucleus; protein-containing complex; transcription regulator complex [MF] DNA binding; DNA-binding transcription factor binding; RNA polymerase II-specific DNA-binding transcription factor binding; chromatin binding; histone deacetylase activity; histone deacetylase binding; metal ion binding; nucleosomal DNA binding; protein binding; sequence-specific DNA binding; transcription coactivator activity; transcription coregulator activity; transcription corepressor activity; zinc ion binding"
DPM2,[BP] GPI anchor biosynthetic process; dolichol metabolic process; dolichol phosphate mannose biosynthetic process; dolichol-linked oligosaccharide biosynthetic process; protein glycosylation [CC] dolichol-phosphate-mannose synthase complex; endoplasmic reticulum; endoplasmic reticulum membrane; glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex; membrane [MF] enzyme activator activity; enzyme regulator activity; protein binding
AQP8,[BP] B cell differentiation; ammonium import across plasma membrane; ammonium transmembrane transport; cellular detoxification; cellular response to cAMP; hydrogen peroxide transmembrane transport; methylammonium transmembrane transport; methylammonium transport; one-carbon compound transport; regulation of cholesterol biosynthetic process; transepithelial water transport; transmembrane transport; urea transmembrane transport; urea transport; water transport [CC] apical part of cell; apical plasma membrane; basolateral plasma membrane; brush border membrane; endoplasmic reticulum; intracellular canaliculus; intracellular vesicle; membrane; mitochondrial inner membrane; mitochondrial membrane; mitochondrion; plasma membrane; smooth endoplasmic reticulum; smooth endoplasmic reticulum membrane [MF] ammonium channel activity; channel activity; methylammonium channel activity; protein binding; urea channel activity; water channel activity
CNTN5,[BP] axon guidance; brain development; cell adhesion; cell-cell adhesion; presynapse assembly; sensory perception of sound [CC] GABA-ergic synapse; axon; extracellular region; membrane; plasma membrane; presynaptic membrane; side of membrane [MF] cell-cell adhesion mediator activity
USP1,[BP] DNA damage response; DNA repair; cell surface receptor signaling pathway via JAK-STAT; monoubiquitinated protein deubiquitination; positive regulation of error-prone translesion synthesis; positive regulation of receptor signaling pathway via JAK-STAT; protein deubiquitination; proteolysis; regulation of DNA repair; regulation of protein stability; response to UV; skeletal system development [CC] cytosol; nucleoplasm; nucleus [MF] cysteine-type deubiquitinase activity; cysteine-type endopeptidase activity; cysteine-type peptidase activity; hydrolase activity; peptidase activity; protein binding
ALDH1A2,"[BP] 9-cis-retinoic acid biosynthetic process; aldehyde metabolic process; anterior/posterior pattern specification; blood vessel development; camera-type eye development; cardiac muscle tissue development; cell population proliferation; cellular response to retinoic acid; determination of bilateral symmetry; embryonic camera-type eye development; embryonic digestive tract development; embryonic forelimb morphogenesis; embryonic limb morphogenesis; face development; forebrain development; heart morphogenesis; hindbrain development; kidney development; lipid metabolic process; liver development; lung development; midgut development; morphogenesis of embryonic epithelium; negative regulation of cell population proliferation; neural crest cell development; neural tube development; neuron differentiation; pancreas development; pituitary gland development; positive regulation of apoptotic process; positive regulation of cell population proliferation; positive regulation of gene expression; protein homotetramerization; proximal/distal pattern formation; regulation of vascular endothelial cell proliferation; response to cytokine; response to estradiol; response to retinoic acid; response to vitamin A; retinal metabolic process; retinoic acid biosynthetic process; retinoic acid metabolic process; retinoic acid receptor signaling pathway; retinol metabolic process; ureter maturation; vitamin A metabolic process [CC] cytoplasm; cytosol; perinuclear region of cytoplasm [MF] 3-chloroallyl aldehyde dehydrogenase activity; aldehyde dehydrogenase (NAD+) activity; oxidoreductase activity; oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; retinal binding; retinal dehydrogenase activity"
STK10,[BP] intracellular signal transduction; lymphocyte aggregation; protein autophosphorylation; protein phosphorylation; regulation of lymphocyte migration [CC] cytoplasm; cytosol; extracellular exosome; membrane; nuclear body; nucleoplasm; plasma membrane; specific granule membrane [MF] ATP binding; identical protein binding; kinase activity; nucleotide binding; protein binding; protein homodimerization activity; protein kinase activity; protein serine kinase activity; protein serine/threonine kinase activity; transferase activity
ACTL6B,[BP] chromatin organization; chromatin remodeling; cytoskeleton organization; dendrite development; negative regulation of cell differentiation; nervous system development; neuron maturation; positive regulation of DNA-templated transcription; positive regulation of T cell differentiation; positive regulation of cell differentiation; positive regulation of cell population proliferation; positive regulation of double-strand break repair; positive regulation of myoblast differentiation; positive regulation of stem cell population maintenance; regulation of G0 to G1 transition; regulation of G1/S transition of mitotic cell cycle; regulation of mitotic metaphase/anaphase transition; regulation of nucleotide-excision repair; regulation of transcription by RNA polymerase II [CC] GBAF complex; NuA4 histone acetyltransferase complex; RSC-type complex; SWI/SNF complex; bBAF complex; brahma complex; chromatin; kinetochore; nBAF complex; nuclear matrix; nucleus [MF] chromatin binding; structural constituent of cytoskeleton; transcription coactivator activity
PRKD3,[BP] intracellular signal transduction; phospholipase C-activating G protein-coupled receptor signaling pathway; protein phosphorylation; sphingolipid biosynthetic process [CC] ciliary basal body; cytoplasm; cytosol; membrane; nucleoplasm; plasma membrane [MF] ATP binding; diacylglycerol-dependent serine/threonine kinase activity; kinase activity; metal ion binding; nucleotide binding; protein binding; protein kinase activity; protein serine kinase activity; protein serine/threonine kinase activity; transferase activity; zinc ion binding
GFPT2,[BP] UDP-N-acetylglucosamine biosynthetic process; UDP-N-acetylglucosamine metabolic process; carbohydrate derivative biosynthetic process; carbohydrate derivative metabolic process; cellular response to leukemia inhibitory factor; energy reserve metabolic process; fructose 6-phosphate metabolic process; protein N-linked glycosylation [CC] cytosol [MF] carbohydrate derivative binding; glutamine-fructose-6-phosphate transaminase (isomerizing) activity; protein binding; transaminase activity; transferase activity
RGS11,[BP] G protein-coupled receptor signaling pathway; intracellular signal transduction; negative regulation of signal transduction; regulation of G protein-coupled receptor signaling pathway [CC] cytoplasm; neuron projection; plasma membrane; protein-containing complex [MF] G-protein beta-subunit binding; GTPase activator activity; GTPase activity
TPPP,[BP] astral microtubule organization; cell division; microtubule bundle formation; microtubule nucleation by microtubule organizing center; microtubule polymerization; myelin assembly; negative regulation of tubulin deacetylation; oligodendrocyte development; oligodendrocyte differentiation; positive regulation of myelination; positive regulation of protein polymerization; positive regulation of protein-containing complex assembly; regulation of microtubule cytoskeleton organization [CC] Golgi apparatus; cytoplasm; cytoskeleton; cytosol; microtubule; microtubule bundle; microtubule organizing center; mitochondrion; mitotic spindle; nucleus; perinuclear region of cytoplasm; postsynaptic Golgi apparatus; spindle [MF] GTPase activity; hydrolase activity; magnesium ion binding; metal ion binding; microtubule binding; protein binding; protein homodimerization activity; tubulin binding
BAIAP3,"[BP] G protein-coupled receptor signaling pathway; dense core granule maturation; exocytosis; modulation of chemical synaptic transmission; positive regulation of insulin secretion involved in cellular response to glucose stimulus; positive regulation of neurotransmitter secretion; regulation of behavior; regulation of dense core granule exocytosis; regulation of synaptic transmission, GABAergic; retrograde transport, endosome to Golgi [CC] GABA-ergic synapse; Golgi apparatus; cytoplasm; cytosol; dense core granule; early endosome membrane; endosome; late endosome membrane; membrane; plasma membrane; presynapse; recycling endosome membrane; secretory vesicle; trans-Golgi network membrane [MF] SNARE binding; calcium ion binding; metal ion binding; phospholipid binding; protein binding; syntaxin binding"
SLIT2,[BP] Roundabout signaling pathway; aortic valve morphogenesis; apoptotic process involved in luteolysis; axon extension involved in axon guidance; axon guidance; branching morphogenesis of an epithelial tube; cell differentiation; cell migration involved in sprouting angiogenesis; cellular response to heparin; cellular response to hormone stimulus; chemorepulsion involved in embryonic olfactory bulb interneuron precursor migration; chemorepulsion involved in postnatal olfactory bulb interneuron migration; chemotaxis; circulatory system development; corticospinal neuron axon guidance through spinal cord; epithelial tube morphogenesis; induction of negative chemotaxis; kidney development; motor neuron axon guidance; negative chemotaxis; negative regulation of actin filament polymerization; negative regulation of cell growth; negative regulation of cell migration; negative regulation of cellular response to growth factor stimulus; negative regulation of chemokine-mediated signaling pathway; negative regulation of endothelial cell migration; negative regulation of lamellipodium assembly; negative regulation of leukocyte chemotaxis; negative regulation of macromolecule metabolic process; negative regulation of monocyte chemotaxis; negative regulation of mononuclear cell migration; negative regulation of neuron projection development; negative regulation of neutrophil chemotaxis; negative regulation of protein phosphorylation; negative regulation of retinal ganglion cell axon guidance; negative regulation of small GTPase mediated signal transduction; negative regulation of smooth muscle cell chemotaxis; negative regulation of smooth muscle cell migration; negative regulation of vascular permeability; nervous system development; olfactory bulb development; positive regulation of apoptotic process; positive regulation of axonogenesis; pulmonary valve morphogenesis; regulation of axonogenesis; regulation of cellular component size; regulation of neurogenesis; response to cortisol; retinal ganglion cell axon guidance; telencephalon cell migration; ureteric bud development; ventricular septum morphogenesis [CC] cytoplasm; extracellular exosome; extracellular region; extracellular space; membrane [MF] GTPase inhibitor activity; Roundabout binding; calcium ion binding; heparin binding; identical protein binding; laminin-1 binding; protein binding; protein homodimerization activity; proteoglycan binding
ATG12,[BP] autophagosome assembly; autophagosome maturation; autophagy; autophagy of mitochondrion; glycophagy; macroautophagy; negative regulation of defense response to virus; negative regulation of innate immune response; negative regulation of type I interferon production; piecemeal microautophagy of the nucleus; positive regulation of viral translation; regulation of autophagosome maturation [CC] Atg12-Atg5-Atg16 complex; autophagosome; autophagosome membrane; cytoplasm; cytosol; membrane; nucleoplasm; phagocytic vesicle membrane; phagophore assembly site membrane; protein-containing complex; transferase complex [MF] Atg8-family ligase activity; protein binding; protein tag activity
NOL4,[BP] None [CC] nucleolus; nucleus [MF] RNA binding
LTN1,[BP] protein autoubiquitination; protein ubiquitination; rescue of stalled ribosome; ribosome-associated ubiquitin-dependent protein catabolic process [CC] RQC complex; cytoplasm; cytosol; cytosolic ribosome [MF] metal ion binding; protein binding; ribosomal large subunit binding; transferase activity; ubiquitin protein ligase activity; ubiquitin-protein transferase activity; zinc ion binding
ATP10B,[BP] lipid transport; lysosomal membrane organization; phospholipid translocation; phospholipid transport [CC] endoplasmic reticulum; endoplasmic reticulum membrane; endosome; late endosome membrane; lysosomal membrane; lysosome; membrane; phospholipid-translocating ATPase complex; plasma membrane [MF] ATP binding; ATP hydrolysis activity; ATPase-coupled intramembrane lipid transporter activity; glycosylceramide flippase activity; magnesium ion binding; metal ion binding; nucleotide binding; phosphatidylcholine flippase activity; protein binding
TOMM70,[BP] activation of innate immune response; antiviral innate immune response; cellular response to virus; mRNA transcription; negative regulation of cell growth involved in cardiac muscle cell development; positive regulation of defense response to virus by host; positive regulation of interferon-beta production; positive regulation of protein targeting to mitochondrion; protein import into mitochondrial matrix; protein insertion into mitochondrial inner membrane; protein insertion into mitochondrial outer membrane; protein targeting to mitochondrion; regulation of apoptotic process; response to thyroxine [CC] TOM complex; extracellular exosome; membrane; mitochondrial membrane; mitochondrial outer membrane; mitochondrial outer membrane translocase complex; mitochondrion [MF] mitochondrion targeting sequence binding; molecular adaptor activity; protein binding; protein transmembrane transporter activity
PLEKHG5,[BP] Rho protein signal transduction; endothelial cell chemotaxis; endothelial cell migration; positive regulation of canonical NF-kappaB signal transduction; regulation of small GTPase mediated signal transduction [CC] anchoring junction; axon; cell projection; cell-cell junction; cytoplasm; cytosol; endocytic vesicle; lamellipodium; membrane; perinuclear region of cytoplasm; plasma membrane [MF] guanyl-nucleotide exchange factor activity
IPO13,[BP] intracellular protein transport; protein import into nucleus; protein transport [CC] cytoplasm; nucleus [MF] protein binding; small GTPase binding
DDHD2,[BP] lipid catabolic process; lipid droplet organization; lipid metabolic process; locomotory behavior; mitochondrial fission; positive regulation of mitochondrial fission; triglyceride catabolic process; visual learning [CC] COPII-coated ER to Golgi transport vesicle; Golgi apparatus; centriolar satellite; cytoplasm; cytosol; endoplasmic reticulum-Golgi intermediate compartment; membrane [MF] diacylglycerol lipase activity; hydrolase activity; metal ion binding; phospholipase activity; triacylglycerol lipase activity
MYO1D,[BP] actin filament organization; actin filament-based movement; cellular localization; early endosome to recycling endosome transport; endocytosis; protein transport [CC] actin cytoskeleton; apical dendrite; axolemma; axon; basolateral plasma membrane; brush border; cell cortex; cell projection; cytoplasm; cytoplasmic vesicle; dendrite; early endosome; endosome; extracellular exosome; microvillus; myelin sheath; myosin complex; neuron projection; neuronal cell body; perikaryon; plasma membrane [MF] ATP binding; actin binding; actin filament binding; calcium-dependent protein binding; calmodulin binding; cytoskeletal motor activity; microfilament motor activity; nucleotide binding; protein binding; protein domain specific binding
TOX4,"[BP] RNA polymerase II promoter clearance; positive regulation of transcription elongation by RNA polymerase II; regulation of transcription by RNA polymerase II; regulation of transcription elongation by RNA polymerase II [CC] PTW/PP1 phosphatase complex; chromatin; chromosome; chromosome, telomeric region; nucleus [MF] DNA binding; chromatin DNA binding; protein binding"
RHOBTB1,[BP] actin filament organization; cortical cytoskeleton organization; establishment or maintenance of cell polarity; regulation of actin cytoskeleton organization; regulation of cell shape; signal transduction; small GTPase-mediated signal transduction [CC] cell projection; cytoplasmic vesicle; cytoskeleton; endosome membrane; plasma membrane [MF] GTP binding; GTPase activity; nucleotide binding; protein binding; protein kinase binding
DDN,"[BP] positive regulation of transcription by RNA polymerase II [CC] cell projection; cytoplasm; dendrite; dendritic spine membrane; endoplasmic reticulum; endoplasmic reticulum membrane; membrane; nucleus; perikaryon; plasma membrane; postsynapse; postsynaptic membrane; presynapse; synapse [MF] DNA-binding transcription factor activity, RNA polymerase II-specific; RNA polymerase II cis-regulatory region sequence-specific DNA binding; protein binding"
MICAL2,"[BP] actin filament depolymerization; cytoskeleton organization; heart development; heart looping; positive regulation of transcription by RNA polymerase II; sulfur oxidation [CC] actin filament; cytoplasm; nucleus [MF] F-actin monooxygenase activity; FAD binding; NAD(P)H oxidase H2O2-forming activity; actin binding; metal ion binding; mitogen-activated protein kinase binding; monooxygenase activity; oxidoreductase activity; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen; protein binding"
SEC24D,[BP] COPII-coated vesicle cargo loading; endoplasmic reticulum to Golgi vesicle-mediated transport; in utero embryonic development; intracellular protein transport; protein transport; vesicle-mediated transport [CC] COPII vesicle coat; ER to Golgi transport vesicle membrane; cytoplasm; cytoplasmic vesicle; cytosol; endoplasmic reticulum; endoplasmic reticulum exit site; endoplasmic reticulum membrane; membrane [MF] SNARE binding; metal ion binding; protein binding; zinc ion binding
NFASC,[BP] axon guidance; brain development; cell adhesion; cell-cell adhesion; myelination; peripheral nervous system development [CC] anchoring junction; axon; axon initial segment; ficolin-1-rich granule membrane; focal adhesion; membrane; node of Ranvier; paranodal junction; plasma membrane [MF] cell-cell adhesion mediator activity; protein binding
SUPT7L,[BP] maintenance of protein location in nucleus; positive regulation of DNA-templated transcription; regulation of DNA repair; regulation of RNA splicing [CC] SAGA complex; nucleoplasm; nucleus [MF] protein binding; protein heterodimerization activity; transcription coactivator activity
FCHSD2,"[BP] clathrin-dependent endocytosis; endocytosis; membrane organization; neuromuscular synaptic transmission; positive regulation of Arp2/3 complex-mediated actin nucleation; positive regulation of actin filament polymerization; positive regulation of cytoskeleton organization; positive regulation of supramolecular fiber organization; protein transport; regulation of actin filament organization; regulation of actin filament polymerization [CC] anchoring junction; cell projection; clathrin-coated pit; cytoplasm; membrane; neuromuscular junction; plasma membrane; recycling endosome; stereocilium; stereocilium shaft [MF] lipid binding; phosphatidylinositol-3,4,5-trisphosphate binding; phosphatidylinositol-3,4-bisphosphate binding; protein binding"
UFL1,"[BP] DNA damage checkpoint signaling; DNA damage response; DNA damage response, signal transduction by p53 class mediator; DNA double-strand break processing; DNA repair; NLRP3 inflammasome complex assembly; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process; antiviral innate immune response; blood circulation; double-strand break repair via homologous recombination; erythrocyte differentiation; hematopoietic stem cell differentiation; negative regulation of IRE1-mediated unfolded protein response; negative regulation of NF-kappaB transcription factor activity; negative regulation of T cell activation; negative regulation of T cell mediated immune response to tumor cell; negative regulation of protein ubiquitination; negative regulation of signal transduction by p53 class mediator; osteoblast differentiation; positive regulation of T cell activation; positive regulation of T cell mediated immune response to tumor cell; positive regulation of autophagy; positive regulation of cell population proliferation; positive regulation of glial cell proliferation; positive regulation of proteolysis involved in protein catabolic process; positive regulation of reticulophagy; proteasome-mediated ubiquitin-dependent protein catabolic process; protein K69-linked ufmylation; protein stabilization; protein ufmylation; regulation of canonical NF-kappaB signal transduction; regulation of gene expression; regulation of inflammatory response; regulation of intracellular estrogen receptor signaling pathway; regulation of proteasomal ubiquitin-dependent protein catabolic process; regulation of protein localization; rescue of stalled ribosome; response to L-glutamate; response to endoplasmic reticulum stress; reticulophagy; ribosome disassembly [CC] chromosome; cytoplasm; cytosol; endoplasmic reticulum; endoplasmic reticulum membrane; membrane; mitochondrial outer membrane; neuron projection; nucleus; protein-containing complex; site of double-strand break [MF] UFM1 ligase activity; UFM1 transferase activity; protein binding; protein kinase binding; transferase activity"
SORBS2,[BP] Notch signaling pathway; cell growth involved in cardiac muscle cell development; cytoskeleton organization [CC] Z disc; actin cytoskeleton; anchoring junction; apical plasma membrane; cell projection; cytoplasm; dendrite; focal adhesion; lamellipodium; membrane; neuronal cell body; nucleus; perinuclear region of cytoplasm; plasma membrane; synapse [MF] RNA binding; cytoskeletal anchor activity; protein binding; structural constituent of cytoskeleton; structural constituent of muscle
TMCC1,[BP] endoplasmic reticulum organization; endosomal transport; endosome fission; endosome membrane tubulation; membrane fission [CC] cytosol; endomembrane system; endoplasmic reticulum; endoplasmic reticulum membrane; endoplasmic reticulum-endosome membrane contact site; membrane; rough endoplasmic reticulum [MF] identical protein binding; protein binding
PHF14,[BP] chromatin organization; germinal center B cell differentiation; lung alveolus development; mesenchymal cell proliferation; mesenchymal cell proliferation involved in lung development; negative regulation of cell population proliferation; negative regulation of mesenchymal cell proliferation; negative regulation of mesenchymal cell proliferation involved in lung development; negative regulation of platelet-derived growth factor receptor-alpha signaling pathway; negative regulation of transcription by RNA polymerase II [CC] chromosome; cytoplasm; nucleus [MF] histone binding; histone reader activity; metal ion binding; protein binding; zinc ion binding
SASH1,[BP] positive regulation of JUN kinase activity; positive regulation of angiogenesis; positive regulation of endothelial cell migration; positive regulation of lipopolysaccharide-mediated signaling pathway; positive regulation of non-canonical NF-kappaB signal transduction; positive regulation of p38MAPK cascade; protein polyubiquitination; regulation of epithelial cell migration; regulation of protein K63-linked ubiquitination; regulation of protein autoubiquitination [CC] cytoplasm; cytosol; nucleoplasm; protein-containing complex [MF] G-protein alpha-subunit binding; mitogen-activated protein kinase kinase kinase binding; molecular adaptor activity; protein binding; protein kinase binding
TMEM63A,[BP] lysosome organization; monoatomic cation transmembrane transport; monoatomic ion transmembrane transport; monoatomic ion transport; surfactant secretion [CC] centriolar satellite; early endosome membrane; endosome; extracellular exosome; lysosomal membrane; lysosome; membrane; plasma membrane; specific granule membrane; tertiary granule membrane [MF] calcium-activated cation channel activity; mechanosensitive monoatomic ion channel activity; nucleic acid binding; osmolarity-sensing monoatomic cation channel activity; phospholipid scramblase activity; protein binding
FARP2,[BP] Rac protein signal transduction; actin cytoskeleton organization; cell adhesion; cell development; hair cycle process; neuron remodeling; osteoclast differentiation; podosome assembly; regulation of integrin activation; semaphorin-plexin signaling pathway; signal transduction [CC] cytoplasm; cytosol [MF] cytoskeletal protein binding; guanyl-nucleotide exchange factor activity
UBXN7,[BP] proteasome-mediated ubiquitin-dependent protein catabolic process [CC] VCP-NPL4-UFD1 AAA ATPase complex; cytosol; nucleoplasm; nucleus [MF] RNA polymerase II-specific DNA-binding transcription factor binding; protein binding; ubiquitin binding; ubiquitin protein ligase binding
KLHL18,[BP] cell division; positive regulation of mitotic cell cycle phase transition; proteasome-mediated ubiquitin-dependent protein catabolic process; protein ubiquitination [CC] Cul3-RING ubiquitin ligase complex; cytoplasm [MF] protein binding; ubiquitin-like ligase-substrate adaptor activity
ZNF432,[BP] DNA damage response; regulation of DNA-templated transcription [CC] nucleolus; nucleoplasm; nucleus [MF] DNA binding; damaged DNA binding; metal ion binding; protein binding; protein-macromolecule adaptor activity; zinc ion binding
LRIG2,[BP] innervation; membrane protein ectodomain proteolysis; negative regulation of axon regeneration; negative regulation of membrane protein ectodomain proteolysis; negative regulation of neuron projection development; positive regulation of protein localization to cell surface; protein localization to cell surface; regulation of axon regeneration; regulation of neuron migration; regulation of platelet-derived growth factor receptor signaling pathway; sensory perception of sound [CC] cytoplasm; growth cone; intracellular vesicle; membrane; plasma membrane [MF] protein binding; signaling receptor activity; signaling receptor binding
