Gene,GO_Description_Text
TRAJ31,[BP] adaptive immune response; immune system process [CC] membrane; plasma membrane [MF] None
TRDJ1,[BP] adaptive immune response; immune system process [CC] T cell receptor complex; membrane; plasma membrane [MF] None
AQP7B,[BP] glycerol transmembrane transport; transmembrane transport; urea transmembrane transport; water transport [CC] basolateral plasma membrane; membrane; plasma membrane [MF] channel activity; glycerol channel activity; urea transmembrane transporter activity; water channel activity
PPIAL4E,[BP] protein folding [CC] cytoplasm [MF] cyclosporin A binding; isomerase activity; peptidyl-prolyl cis-trans isomerase activity
PPIAL4H,[BP] protein folding [CC] cytoplasm [MF] cyclosporin A binding; isomerase activity; peptidyl-prolyl cis-trans isomerase activity
IGHV4OR15-8,[BP] adaptive immune response; immune system process; immunoglobulin mediated immune response [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] antigen binding
IGHV3OR16-12,[BP] adaptive immune response; immune system process; immunoglobulin mediated immune response [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] antigen binding
IGHV1OR15-1,[BP] adaptive immune response; immune system process; immunoglobulin mediated immune response [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] antigen binding
IGKV1OR2-108,[BP] adaptive immune response; immune response; immune system process [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] None
IGHV3OR15-7,[BP] adaptive immune response; immune system process; immunoglobulin mediated immune response [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] antigen binding
IGHV3OR16-13,[BP] adaptive immune response; immune system process; immunoglobulin mediated immune response [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] antigen binding
IGHV3OR16-10,[BP] adaptive immune response; immune system process; immunoglobulin mediated immune response [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] antigen binding
IGHV3OR16-8,[BP] adaptive immune response; immune system process; immunoglobulin mediated immune response [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] antigen binding
IGLV5-45,[BP] adaptive immune response; immune response; immune system process [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] None
IGHV4-30-2,[BP] adaptive immune response; immune system process; immunoglobulin mediated immune response [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] antigen binding
IGKV3D-15,[BP] adaptive immune response; immune response; immune system process [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] None
IGKV1D-8,[BP] adaptive immune response; immune response; immune system process [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] None
TRAV30,[BP] adaptive immune response; immune system process; response to bacterium [CC] T cell receptor complex; membrane; plasma membrane [MF] None
TRAV27,[BP] adaptive immune response; defense response to Gram-positive bacterium; immune response; immune system process; response to bacterium [CC] T cell receptor complex; alpha-beta T cell receptor complex; membrane; plasma membrane [MF] protein binding
TRAV9-2,[BP] adaptive immune response; immune system process [CC] T cell receptor complex; membrane; plasma membrane [MF] None
TRAV26-1,[BP] adaptive immune response; immune system process; response to bacterium [CC] T cell receptor complex; membrane; plasma membrane [MF] None
TMEM265,[BP] None [CC] membrane [MF] None
NBPF19,[BP] None [CC] cytoplasm [MF] None
ZNF892,"[BP] negative regulation of transcription by RNA polymerase II; regulation of DNA-templated transcription; regulation of transcription by RNA polymerase II [CC] nucleoplasm; nucleus [MF] DNA-binding transcription factor activity, RNA polymerase II-specific; DNA-binding transcription repressor activity, RNA polymerase II-specific; RNA polymerase II cis-regulatory region sequence-specific DNA binding; metal ion binding; sequence-specific DNA binding; zinc ion binding"
SPEGNB,[BP] None [CC] None [MF] protein kinase activity
TRBV16,[BP] adaptive immune response; cell surface receptor signaling pathway; immune system process [CC] T cell receptor complex; membrane; plasma membrane [MF] None
TBC1D3D,[BP] None [CC] endosome; membrane; plasma membrane [MF] GTPase activator activity
LOC102724971,[BP] adaptive immune response; immune system process; immunoglobulin mediated immune response [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] antigen binding
IGKV2-40,[BP] adaptive immune response; immune response; immune system process [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] None
P3R3URF,[BP] cytokine-mediated signaling pathway [CC] None [MF] None
MEIKIN,"[BP] chromosome segregation; female meiosis chromosome segregation; homologous chromosome segregation; male meiosis chromosome segregation; meiotic cell cycle; meiotic sister chromatid cohesion involved in meiosis I; meiotic sister chromatid cohesion, centromeric [CC] chromosome; chromosome, centromeric region; condensed chromosome, centromeric region; kinetochore [MF] None"
TBC1D3I,[BP] None [CC] endosome; membrane; plasma membrane [MF] GTPase activator activity
IGHV1OR21-1,[BP] adaptive immune response; immune system process; immunoglobulin mediated immune response [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] antigen binding
TRBV15,[BP] cell surface receptor signaling pathway; immune system process [CC] plasma membrane [MF] None
TRBV17,[BP] adaptive immune response; cell surface receptor signaling pathway; immune system process [CC] T cell receptor complex; membrane; plasma membrane [MF] None
TRBV18,[BP] adaptive immune response; cell surface receptor signaling pathway; immune system process [CC] T cell receptor complex; membrane; plasma membrane [MF] None
TBC1D3E,[BP] None [CC] endosome; membrane; plasma membrane [MF] GTPase activator activity
CYP2D7,"[BP] arachidonate metabolic process; xenobiotic catabolic process; xenobiotic metabolic process [CC] cytoplasm; membrane; mitochondrion [MF] aromatase activity; heme binding; iron ion binding; metal ion binding; monooxygenase activity; oxidoreductase activity; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen"
TBC1D3K,[BP] None [CC] endosome; membrane; plasma membrane [MF] GTPase activator activity
DEFB131B,[BP] defense response; defense response to bacterium; innate immune response [CC] extracellular region; extracellular space [MF] None
NOTCH2NLR,[BP] animal organ development; positive regulation of signal transduction; system development [CC] None [MF] calcium ion binding
SMIM26,[BP] None [CC] membrane; mitochondrial outer membrane; mitochondrion [MF] protein binding; protein kinase binding; transmembrane transporter binding
